@relation data-weka.filters.unsupervised.attribute.NumericToNominal-R30-34-weka.filters.unsupervised.attribute.NumericToNominal-R13-16-weka.filters.unsupervised.instance.RemovePercentage-P80.0-V-weka.filters.unsupervised.attribute.NumericToNominal-R35-36

@attribute Var12 numeric
@attribute Var19 numeric
@attribute Var53 numeric
@attribute Var87 numeric
@attribute Var111 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var131 numeric
@attribute Var139 numeric
@attribute Var161 numeric
@attribute Var188 numeric
@attribute Var193 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51}
@attribute Var203 {1,2,3,4,5}
@attribute Var207 {1,2,3,4,5,6,7,8,9,10,11,12,13,14}
@attribute Var218 {1,2}
@attribute Var34 numeric
@attribute Var64 numeric
@attribute Var67 numeric
@attribute Var92 numeric
@attribute Var102 numeric
@attribute Var136 numeric
@attribute Var162 numeric
@attribute Var171 numeric
@attribute Var3 numeric
@attribute Var54 numeric
@attribute Var62 numeric
@attribute Var82 numeric
@attribute Var147 numeric
@attribute Var211 {1,2}
@attribute Var212 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81}
@attribute Var227 {1,2,3,4,5,6,7}
@attribute Var228 {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30}
@attribute churn {-1,1}
@attribute appetency {-1,1}
@attribute upselling {-1,1}

@data
?,?,?,?,?,64737.2,?,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,1,-1,-1
?,?,?,?,?,91102,-8,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,409376,-10,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-134694.4,36,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,202718,12,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,1,-1,-1
?,?,?,?,?,299721.6,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,37,5,14,-1,-1,1
?,?,?,?,?,92466,?,?,?,?,?,?,38,1,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,1
?,0,?,?,?,-1476524,-16,?,?,?,0,?,38,1,10,2,?,?,?,?,?,?,?,993798,?,?,?,0,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,-102479.2,32,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-193827.6,?,?,?,?,?,?,2,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,5,-1,-1,-1
?,?,?,?,?,17125.72,-4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,1
?,?,?,?,?,88383.6,?,?,?,?,?,?,38,4,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-797660,?,?,?,?,?,?,37,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,57,7,15,-1,-1,-1
?,?,?,?,?,130967.2,?,?,?,?,?,?,38,4,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,1
?,?,?,?,?,110152,-28,?,?,?,?,?,38,4,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,31352.44,22,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,14,-1,-1,-1
?,?,?,?,?,-232682.8,4,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,7,14,-1,-1,-1
?,?,?,?,?,56047.2,4,?,?,?,?,?,38,1,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,-1
?,?,?,?,?,-533940,-30,?,?,?,?,?,7,1,9,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,34,2,13,-1,-1,1
?,?,?,?,?,-784240,14,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,1,-1,-1
?,?,?,?,?,59592.4,-24,?,?,?,?,?,7,1,8,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,45,1,28,1,-1,-1
?,?,?,?,?,74015.6,44,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,4070.84,22,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,8,7,21,-1,-1,-1
?,0,?,?,?,-1445444,-18,?,?,?,9,?,38,4,6,1,?,?,?,?,78417.54,?,?,461841.3,?,?,?,3,?,2,25,1,14,-1,-1,-1
?,?,?,?,?,-838228,4,?,?,?,?,?,38,1,6,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,-1
?,?,?,?,?,-99980.8,-20,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,-930600,-12,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,156958,42,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,0,4,?,?,?,?,?,38,4,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,1326872,?,?,?,?,?,?,2,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,5,1,-1,-1
?,?,?,?,?,-27164.56,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,203009.2,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-1575292,?,?,?,?,?,?,37,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,65,7,15,1,-1,-1
?,?,?,?,?,73289.2,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,91308,-22,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,94712.8,4,?,?,?,?,?,38,3,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,123549.2,?,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,34,2,23,-1,-1,-1
?,?,?,?,?,-12328.36,40,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,14,-1,-1,-1
?,?,?,?,?,98324.8,-20,?,?,?,?,?,38,1,9,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,34,2,23,-1,1,-1
?,?,?,?,?,85197.2,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,31176.44,30,?,?,?,?,?,26,4,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,7,15,-1,-1,-1
?,?,?,?,?,142417.2,6,?,?,?,?,?,2,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,5,-1,-1,-1
?,?,?,?,?,58762.8,24,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,34,2,23,-1,-1,-1
?,?,?,?,?,145049.6,6,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,61957.6,?,?,?,?,?,?,38,1,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,1,14,-1,-1,-1
?,?,?,?,?,-29723.72,-20,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,7585.56,28,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,30,6,27,-1,-1,-1
?,?,?,?,?,102726,?,?,?,?,?,?,2,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,37,5,5,-1,-1,-1
?,?,?,?,?,-344.8572,?,?,?,?,?,?,2,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,24,-1,-1,-1
?,?,?,?,?,115961.6,?,?,?,?,?,?,37,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,75,7,15,-1,-1,-1
?,?,?,?,?,0,60,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,164940,?,?,?,?,?,?,38,1,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,-1
?,?,?,?,?,-520268,4,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,1,-1
?,?,?,?,?,139857.6,?,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,166250.8,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-45703.2,28,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
0,?,0,14,?,-4814400,?,?,0,?,?,?,38,1,10,1,?,?,?,?,?,87799,?,?,?,?,0,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,28480.44,?,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,14,-1,-1,-1
?,?,?,?,?,-144249.6,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-560420,34,?,?,?,?,?,2,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,7,16,-1,-1,1
?,?,?,?,?,-919272,4,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,3,-1,-1,-1
?,?,?,?,?,-339881.6,-30,?,?,?,?,?,2,4,5,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,42,7,24,-1,-1,-1
?,?,?,?,?,188559.6,?,?,?,?,?,?,38,1,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,1,14,1,-1,-1
?,?,?,?,?,93452,8,?,?,?,?,?,14,1,6,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,73,1,21,-1,-1,-1
?,?,?,?,?,0,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,234156.4,-6,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,-58746,16,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-1296192,4,?,?,32992,?,?,38,1,10,1,?,?,0,?,?,?,?,?,?,?,?,?,0,1,53,5,14,-1,-1,-1
?,?,?,?,?,504212,-2,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,126723.2,30,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,134526,-1264624,4,?,?,13136,?,?,38,3,10,1,?,?,0,?,?,?,?,?,?,?,?,?,2,1,53,5,14,-1,-1,-1
?,?,?,?,?,-300670,-22,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,12812.16,24,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,14,-1,-1,-1
?,?,?,?,?,-35327.72,-4,?,?,?,?,?,38,1,9,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,34,2,23,-1,-1,-1
?,?,?,?,?,162311.6,14,?,?,?,?,?,25,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,37,5,21,-1,-1,-1
?,?,?,?,?,-264449.6,?,?,?,?,?,?,32,1,5,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,73,7,16,-1,-1,-1
?,?,?,?,?,119277.6,36,?,?,?,?,?,14,1,2,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,73,1,21,-1,-1,-1
?,?,?,?,?,-83191.6,4,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,34,2,23,-1,-1,-1
?,?,?,?,?,97728,30,?,?,?,?,?,38,1,6,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,-1
?,?,?,?,?,83468.8,-10,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,51529.2,10,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,18,2,9,-1,-1,-1
?,?,?,?,?,518084,-24,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,76,5,14,-1,-1,-1
?,?,?,?,585569.4,443404,-14,?,?,762860,?,?,38,1,10,1,?,?,0,?,?,?,?,?,?,?,?,?,0,2,53,5,14,-1,-1,-1
?,?,?,?,?,-88029.2,34,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,18,2,9,-1,-1,-1
?,?,?,?,?,-442156,-26,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,208085.2,?,?,?,?,?,?,2,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,5,-1,-1,-1
?,?,?,?,?,45714,?,?,?,?,?,?,38,3,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,155181.2,22,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,162194.4,?,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-328404.8,4,?,?,?,?,?,38,1,6,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,4,14,-1,-1,-1
?,?,?,?,?,-1253876,-18,3,?,?,?,276.48,38,1,10,1,0,?,?,111790,?,?,922158,?,6,0,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,133076.4,?,?,?,?,?,?,16,4,2,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,1,15,-1,-1,-1
?,?,?,?,?,-84387.2,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,14,1,-1,-1
?,?,?,?,?,-1912076,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-1503100,?,?,?,?,?,?,2,4,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,70,7,16,-1,-1,-1
?,?,?,?,?,5342.72,4,?,?,?,?,?,38,4,6,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,25,1,14,-1,-1,-1
?,?,?,?,?,-50337.6,6,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,75,7,21,-1,-1,-1
?,?,?,?,?,55484,-20,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,8865.84,6,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,48,6,26,-1,-1,-1
?,?,?,?,?,282680.4,-22,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,1,-1
?,?,?,?,?,345241.6,-20,?,?,?,?,?,2,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,37,5,5,-1,-1,-1
?,?,?,?,?,90504,?,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,12658.72,?,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,1
?,?,?,?,?,165690,4,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,127152.4,?,?,?,?,?,?,2,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,5,-1,-1,-1
?,?,?,?,?,-2526.716,4,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-44806.4,?,?,?,?,?,?,38,1,10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,1,-1,-1
?,?,?,?,?,126146.4,34,?,?,?,?,?,2,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,30,7,15,-1,-1,-1
?,?,?,?,?,10789.56,-30,?,?,?,?,?,2,1,5,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,7,25,-1,-1,1
?,?,?,?,?,-24990.56,?,?,?,?,?,?,2,1,11,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,42,2,30,-1,-1,-1
?,?,?,?,?,723464,-30,3,?,?,?,305.7,38,1,10,1,0,?,?,31934,?,?,777600,?,171,8,?,?,?,2,53,5,14,-1,-1,1
?,?,?,?,?,254301.6,-22,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,0,?,?,?,-2275892,-16,?,?,?,9,?,38,1,10,1,?,?,?,?,?,?,?,0,?,?,?,3,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,531496,?,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,34,2,23,-1,-1,-1
?,?,?,?,210769.8,-735160,4,?,?,256448,?,?,38,1,6,1,?,?,0,?,?,?,?,?,?,?,?,?,2,1,25,1,14,-1,-1,-1
?,?,?,?,?,926436,-30,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,1
?,?,?,?,?,68819.6,34,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,8,7,21,-1,-1,-1
?,?,?,?,?,321746.4,?,?,?,?,?,?,38,3,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-15751,?,?,?,?,?,?,38,1,5,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,8,7,21,-1,-1,-1
?,?,?,?,?,323614.4,?,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,18,2,9,-1,-1,-1
?,?,?,?,?,-242163.2,6,?,?,?,?,?,38,1,9,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,18,2,9,-1,-1,-1
?,?,?,?,?,-14256.72,-26,?,?,?,?,?,38,4,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,350274,-24,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,-31844.72,-26,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-9072.44,-22,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,233151.6,40,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,387300,4,?,?,?,?,?,38,1,10,2,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,-163846.8,20,?,?,?,?,?,2,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,24,-1,-1,-1
?,?,?,?,508936.8,-617020,?,?,?,0,?,?,38,1,6,1,?,?,0,?,?,?,?,?,?,?,?,?,4,1,25,1,14,-1,-1,-1
?,?,?,?,?,174617.6,?,?,?,?,?,?,7,1,8,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,45,1,28,-1,-1,-1
?,?,?,?,?,-225552,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,53,5,14,-1,-1,-1
?,?,?,?,?,64339.2,8,?,?,?,?,?,38,1,5,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,30,6,27,-1,-1,1
?,?,?,?,?,47618,-20,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,2,53,5,14,-1,-1,-1
?,?,?,?,?,323961.6,?,?,?,?,?,?,2,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,5,-1,-1,-1
?,?,?,?,?,-1252908,4,?,?,?,?,?,38,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,14,-1,-1,-1
?,?,?,?,?,128807.6,20,?,?,?,?,?,2,1,10,1,?,?,?,?,?,?,?,?,?,?,?,?,?,1,76,5,5,-1,1,-1
