@relation data
@attribute Var153 numeric
@attribute Var211 numeric
@attribute Var218 numeric
@attribute appetency numeric
@data
1072052,1,1,-1
439540,1,1,-1
443476,1,1,-1
123816,1,1,-1
2167816,1,1,-1
10371640,2,2,-1
104868,2,1,-1
10575320,2,2,1
10332160,2,1,-1
10545120,1,2,-1
157432,1,1,-1
10708960,1,2,-1
10586600,1,2,-1
8400,1,2,-1
10164360,1,1.4655,-1
1229620,1,1,-1
2008864,1,2,-1
1010616,1,2,-1
5562657.69896,2,1,-1
10113560,2,2,-1
5562657.69896,2,1,-1
10633880,1,1,-1
5562657.69896,1,1,-1
10335200,1,1,-1
10211440,1,1,-1
10467320,1,2,-1
238456,1,2,-1
9897280,1,1,-1
5562657.69896,1,1,-1
9207560,1,1,-1
10093440,2,1,-1
465560,1,1,-1
9790120,2,1,-1
10380600,1,1,-1
10336320,1,2,-1
7492280,1,1,-1
5562657.69896,1,1,-1
9734760,1,1,-1
8503720,1,1,-1
9872920,1,1,-1
10547520,2,1,-1
10722800,1,1,-1
777840,1,1,-1
10719080,1,1,1
9502320,1,1,-1
5562657.69896,1,1,-1
697588,1,1,-1
1873288,1,2,-1
3711720,1,2,-1
10289120,1,2,-1
1054268,1,1,-1
10631880,1,2,-1
7378080,1,1,-1
5562657.69896,1,1,-1
9218000,2,2,-1
1054712,1,2,-1
10426880,1,2,-1
10543480,1,2,-1
10439720,1,1,-1
922988,1,2,-1
5562657.69896,2,2,-1
5562657.69896,1,1,-1
5562657.69896,2,2,-1
10474200,1,1,-1
9597040,1,1,-1
10315000,2,1,-1
10246480,1,2,1
1004540,1,2,-1
3234468,1,1.4655,-1
8487560,2,2,-1
2372696,1,1,-1
10612440,1,1,-1
5562657.69896,2,2,-1
9675440,2,1,-1
5562657.69896,1,1,-1
10147040,1,1,-1
4268280,1,1,-1
509920,1,2,-1
10517160,1,2,-1
10369640,1,2,-1
3305784,1,1,-1
1428052,1,1,-1
89248,2,1,-1
4998880,1,2,-1
5562657.69896,2,2,-1
10296480,1,2,-1
7895480,1,2,-1
10745720,2,2,-1
10372880,1,2,-1
10322000,2,1,-1
9676800,1,1,-1
5562657.69896,2,1,-1
6620760,2,2,-1
6756400,2,2,-1
10453840,2,2,-1
10309800,1,1,-1
9175680,1,2,-1
8398200,1,1,-1
10602080,1,2,-1
2962868,1,2,-1
3112148,1,2,-1
9997400,1,1,-1
10117280,1,1,-1
5489280,1,1,-1
2724796,1,2,-1
2038008,1,1,-1
1484096,1,2,-1
5562657.69896,1,2,-1
9141960,2,1,-1
9412280,1,1,-1
10542000,1,1,-1
8959200,2,2,-1
218320,1,1,-1
10645920,1,1,-1
5562657.69896,1,2,-1
9669960,1,2,-1
5562657.69896,2,2,-1
2920532,2,2,-1
7083720,1,2,-1
10512680,1,2,-1
1678080,1,1,-1
3212284,1,2,-1
10580840,1,2,-1
880084,1,2,-1
9235800,1,2,-1
267456,1,1,-1
10703920,1,1,-1
1543208,1,1,-1
6808000,1,1,-1
9980840,2,2,-1
58320,1,2,-1
2676404,1,2,-1
10013720,2,1,-1
5562657.69896,2,2,-1
5562657.69896,2,1,-1
5562657.69896,1,2,-1
10484920,1,2,-1
9571440,1,2,-1
128012,1,2,-1
10656120,1,2,-1
10616800,1,1,-1
11199800,1,1,-1
10691640,1,1,-1
5562657.69896,1,1,-1
10467080,1,2,-1
266404,1,1,-1
2633752,2,2,-1
10894960,1,2,-1
290116,1,2,-1
9899960,1,2,-1
626268,1,1,-1
5562657.69896,1,1,-1
5463120,1,1,-1
10462600,1,1,-1
5562657.69896,1,2,-1
9856960,1,1,-1
9675120,1,1,-1
9183920,2,1,-1
10511680,1,1,-1
10568960,1,2,-1
5704880,2,1,-1
10583720,1,2,1
835328,1,1,-1
5562657.69896,2,1,-1
1260216,1,1,-1
5562657.69896,2,1,-1
9663200,1,1,-1
7713880,1,1,-1
10686040,1,2,-1
10358360,1,1,-1
5562657.69896,2,2,-1
10813160,1,2,-1
831340,1,2,-1
5562657.69896,2,1,-1
932176,1,1,-1
501872,2,1,-1
2040548,1,2,-1
10508040,1,1,-1
8825640,1,1,-1
10775920,1,2,-1
10454200,1,1,-1
3484224,1,1,-1
3195528,1,2,-1
10414480,1,1.4655,-1
808864,2,2,-1
10214040,1,1,-1
3132336,1,2,-1
5562657.69896,1,1,-1
10396680,1,2,-1
1288664,1,2,-1
3936504,1,1,-1
242116,1,2,-1
3438160,1,1,-1
3280952,1,2,-1
10599440,1,2,-1
10478120,1,2,-1
2922516,1,1,-1
1794484,1,1,-1
4231480,1,1,-1
10700800,1,2,1
10497000,1,2,-1
5562657.69896,2,2,-1
10941000,1,2,-1
2174928,1,1,-1
5562657.69896,2,1,-1
4984,1,1,-1
1128196,2,2,-1
9427560,1,2,-1
49756,1,1,-1
938724,1,1,-1
10554800,1,1,-1
638108,1,1,-1
630124,1,2,-1
201208,1,2,-1
3644520,1,2,-1
7886760,1,1,-1
10346600,1,2,-1
10468760,1,2,-1
10292840,1,2,-1
10713600,1,2,-1
9300160,1,2,-1
5562657.69896,1,1,-1
8606560,1,1,-1
5562657.69896,2,2,-1
10338120,1,1.4655,-1
9476040,1,2,-1
1519484,1,2,-1
10425560,1,1,-1
1577296,1,2,-1
10368000,1,1,-1
10066680,1,1,-1
10426160,1,2,-1
2067180,2,2,-1
191700,1,1,-1
10601840,2,2,-1
10675400,1,1,-1
1857480,1,2,-1
4987200,2,1,-1
6097640,1,1,-1
196188,1,2,-1
10686200,2,2,-1
1064104,1,1,-1
8757160,1,1,-1
10810280,2,2,-1
3950204,1,1,-1
4032360,1,1,-1
9438360,1,1,-1
10545680,1,1,-1
8575760,1,2,-1
2783320,1,1.4655,-1
5562657.69896,1,1,-1
10595440,1,2,-1
10954080,1,2,-1
10448800,2,1,-1
6531000,1,1,-1
6684800,1,1,-1
10572840,1,2,-1
5562657.69896,1,1,-1
10458440,1,2,-1
1454060,1,1,-1
5562657.69896,2,2,-1
44152,1,1,-1
5562657.69896,1,2,-1
439884,1,2,-1
2767496,1,2,-1
10427200,1,2,-1
5562657.69896,1,2,-1
1713092,1,1,-1
10734440,1,1,-1
10206800,1,1,-1
10530960,1,1,-1
8980400,1,1,-1
10303920,2,2,-1
3936596,1,2,-1
1200948,2,2,-1
9365720,2,1,-1
10001720,1,2,-1
5562657.69896,2,2,-1
10658560,1,2,-1
10226800,1,2,-1
10280440,2,1,-1
5562657.69896,1,1,-1
185048,1,1,-1
11493520,1,1,-1
8904160,1,1,-1
10193200,2,1,-1
5562657.69896,1,1.4655,-1
10696200,1,1,-1
10609600,1,2,-1
10556120,1,2,-1
1919100,1,2,-1
10662000,1,2,-1
10112920,1,2,-1
5562657.69896,1,1,-1
10556360,1,1,-1
10497480,1,2,-1
10214880,1,2,-1
10818680,1,2,-1
10150440,1,1,-1
9565760,2,2,-1
44784,1,2,-1
10364800,1,1,-1
10661280,1,2,-1
208388,1,1,-1
5562657.69896,1,2,-1
2297752,1,2,-1
166536,1,2,-1
9158640,2,1,-1
5562657.69896,2,2,-1
10571080,1,2,-1
5562657.69896,1,2,-1
10187360,1,2,-1
10444640,1,1,-1
9630960,2,2,-1
291076,2,1,-1
5562657.69896,1,1,-1
5290920,1,2,-1
5562657.69896,2,1,-1
10494000,1,2,-1
5562657.69896,2,1,-1
12857600,1,1,-1
6341680,1,1,-1
10636880,1,2,-1
10455120,1,1,-1
8250160,2,2,-1
9294080,1,2,-1
10921720,1,1,-1
8581560,1,1.4655,-1
5562657.69896,2,2,-1
10402880,1,1.4655,-1
10713600,1,1,-1
698752,1,1,-1
2882456,2,2,-1
10649720,1,2,-1
10287440,1,1,-1
4378480,1,1,-1
10619200,1,2,-1
5506480,1,2,-1
127108,1,1,-1
10465920,1,2,-1
1595712,1,1,-1
483332,1,1,-1
1692004,1,1,-1
1119808,1,1,-1
27544,1,1,-1
5562657.69896,2,1,-1
448704,1,2,-1
1527768,1,1,-1
4175720,1,1,-1
1932236,1,2,-1
232684,2,1,-1
3286268,1,1,-1
10525320,1,1,-1
5562657.69896,2,2,-1
84332,1,1,-1
10589040,1,1,-1
5562657.69896,1,1,-1
9974600,1,1,-1
4141720,1,1,-1
10349120,1,2,-1
10579560,1,2,-1
10646560,1,2,-1
49560,1,2,-1
10245800,1,1,-1
9376600,1,2,-1
10423120,1,2,-1
9120000,1,1,-1
2163816,1,1,-1
2229664,1,1,-1
10313440,1,2,-1
776772,1,1,-1
1340680,1,2,-1
44012,1,1,-1
10687760,1,1,-1
5968640,1,1,-1
748052,2,2,-1
3761364,1,1,-1
1061148,1,2,-1
10596360,1,2,-1
528244,1,1,-1
10360960,1,2,-1
148776,1,1,-1
10713800,1,2,-1
10725160,1,1,-1
5562657.69896,2,2,-1
5562657.69896,1,2,-1
5562657.69896,2,2,-1
5562657.69896,1,2,-1
6488080,1,1,-1
10339680,2,2,-1
25404,1,1,-1
3515204,1,2,-1
8462560,1,2,1
10259240,2,2,-1
10528760,2,1,-1
649696,1,2,-1
10804640,1,1,-1
5562657.69896,1,2,-1
5322640,1,2,-1
72784,1,1,-1
960512,1,1,-1
827656,1,2,-1
15408,1,1,-1
10678520,1,1,-1
67544,1,1,-1
9608560,1,2,-1
1015608,1,2,-1
10240560,1,1,-1
1080752,1,2,-1
1793240,1,1,-1
5562657.69896,1,2,-1
10368000,1,2,-1
61048,2,1,-1
5562657.69896,2,2,1
5562657.69896,1,2,-1
10180440,1,2,-1
10505200,1,2,-1
1371072,1,1.4655,-1
8703080,1,2,-1
417936,1,2,-1
220504,1,2,-1
8570280,1,2,1
10446960,1,1,-1
269516,2,1,-1
917076,1,1,-1
7715960,1,1,-1
10523960,1,2,-1
1453972,1,2,-1
10451480,1,2,-1
9113600,2,2,-1
10485840,1,2,-1
1520524,1,1,-1
5562657.69896,1,1,-1
10502160,1,2,-1
10347440,1,1,-1
10162280,1,1,-1
72460,1,1,-1
1208892,1,2,-1
844236,1,2,-1
10158080,1,1,-1
5562657.69896,2,2,-1
568816,1,2,-1
7354680,2,2,-1
11187440,1,2,-1
1576116,1,2,-1
586780,1,2,-1
3335148,1,1,-1
10503280,2,2,-1
5562657.69896,1,2,-1
10713600,1,1,-1
291632,1,1,-1
5562657.69896,1,1,-1
5562657.69896,2,2,-1
10616680,1,1,-1
10377960,1,1,-1
9122360,1,1,-1
894464,1,1,-1
8322720,1,2,-1
10600920,2,2,-1
5314400,1,2,-1
1102932,1,2,-1
646680,1,1,-1
122820,1,2,-1
10128640,1,1,-1
5562657.69896,2,1,-1
5411080,1,2,-1
10155840,1,1,-1
10022760,1,1,-1
10656880,1,1,-1
2076716,1,1,-1
10544240,1,1,-1
199644,1,1,-1
9331200,1,1,-1
172508,1,2,-1
10254960,1,1,-1
8850360,1,1,-1
10100320,1,1.4655,-1
10759000,1,1,-1
10584600,1,2,-1
7726840,2,2,-1
10096600,1,2,-1
10537040,1,2,-1
5562657.69896,1,1,-1
1217760,2,1,-1
10614320,1,2,-1
5562657.69896,1,1,-1
1144768,1,2,-1
10001600,1,1,-1
10263440,1,2,-1
5562657.69896,1,1,-1
1504840,1,1,-1
10718920,1,1,-1
10252680,2,2,-1
10459280,1,1,-1
10521680,1,2,-1
143520,1,1,-1
10713600,1,1,-1
523584,2,2,-1
9202280,1,1,-1
7475160,1,1,-1
9980480,1,2,-1
1480180,1,1,-1
5562657.69896,2,2,-1
5562657.69896,1,1,-1
140200,1,2,-1
10713600,2,2,-1
10423080,1,2,-1
10509360,2,2,-1
10569640,1,1,-1
6674800,1,1,-1
10386960,2,2,-1
696904,1,2,-1
5441560,1,2,-1
754676,1,2,-1
8306360,1,1,-1
548104,1,2,-1
10591840,1,2,-1
10369520,1,2,-1
9990520,1,2,-1
5785720,1,2,-1
2199812,1,2,-1
10717240,1,2,-1
10249920,1,1,-1
8458400,2,2,-1
10671120,1,1,-1
4689000,1,2,-1
1014212,1,1,-1
10633600,1,2,-1
1162900,1,1,-1
5562657.69896,1,1,-1
9708560,2,2,-1
681748,1,1,-1
10368080,1,2,-1
1280256,1,1,-1
292136,1,2,1
5562657.69896,1,1,-1
1946392,1,1,-1
5562657.69896,1,1,-1
9916080,1,2,-1
10186280,1,1,-1
1931336,1,1,-1
10607760,1,2,-1
59776,1,1,-1
10708640,1,1,-1
5562657.69896,1,1,-1
4437240,1,2,-1
5562657.69896,1,2,-1
3272140,2,2,-1
9187080,1,2,-1
10606880,1,1,-1
3067668,1,1,-1
10461760,1,2,-1
1850768,1,2,-1
10525200,1,2,-1
819500,1,1,-1
10699440,1,2,-1
10273880,2,2,-1
5168880,1,1,-1
138360,1,2,-1
10547520,1,2,-1
660532,1,1,-1
10210320,2,1,-1
10684560,1,2,-1
10532320,1,2,-1
3746972,1,2,-1
10558120,1,1,-1
10308120,1,1,-1
5988120,2,1,-1
2473664,1,2,-1
10321000,1,2,-1
5562657.69896,2,2,-1
3066900,1,2,-1
10543040,1,2,-1
9826080,2,2,-1
10093360,1,2,-1
10468920,1,1,-1
3968372,1,1,-1
10177440,1,1,-1
10630440,1,2,-1
10429000,1,2,-1
10616320,1,2,-1
3245036,1,2,-1
10465280,1,2,-1
10688480,1,2,-1
4641120,1,2,-1
168280,1,1,-1
10777640,1,1,-1
6313240,1,1,-1
38908,1,2,-1
10676000,2,2,-1
9162720,1,2,-1
1519540,1,1,-1
10108880,1,2,-1
10469440,2,2,-1
7382080,1,1,-1
10185320,1,2,-1
6052320,1,1,-1
5562657.69896,2,2,-1
5562657.69896,1,1,-1
10414880,1,1,-1
9645800,1,1,-1
260880,1,2,-1
2281432,1,2,-1
5562657.69896,1,1,-1
10186960,1,1,-1
10503800,1,2,-1
9543800,1,1,-1
10461680,1,1,-1
5562657.69896,2,1.4655,-1
838072,1,2,-1
5562657.69896,1,1,-1
5882280,2,2,-1
10115240,1,1,-1
5562657.69896,1,2,-1
688872,1,2,-1
316492,1,1,-1
10569080,1,1,-1
5562657.69896,1,1,-1
7355320,2,1,-1
813428,1,1.4655,-1
6525080,1,2,-1
10476560,1,1,-1
10146400,2,1,-1
8945400,1,1,-1
10639840,1,2,-1
335368,1,1,-1
10531680,1,2,-1
9213400,1,1,-1
1575804,1,1,-1
17372,2,1,-1
2305040,2,1,-1
8577680,1,1,-1
5562657.69896,1,2,-1
826308,1,1,-1
5091720,1,2,-1
618604,1,2,-1
10678120,1,2,1
10730800,2,2,-1
10082840,1,1,-1
10579680,1,1,-1
6362160,1,1,-1
9627800,1,1,-1
9829120,1,1,-1
814116,1,1,-1
10455960,1,1,-1
7305080,2,1,-1
32664,1,1,-1
2766936,1,1,-1
10320040,1,1,-1
1060100,1,1,-1
10626680,1,2,-1
5562657.69896,2,2,-1
3723320,1,1,-1
6755440,1,1,-1
469484,1,1,-1
10297600,1,1,-1
2118420,1,2,-1
1472292,1,1,-1
482648,2,1,-1
5562657.69896,1,1,-1
9674360,1,1,-1
10747600,1,2,-1
7353880,1,1,-1
9571840,1,2,-1
8221040,2,2,-1
7819480,1,1,-1
10599080,2,1,-1
10677920,1,1,-1
672508,1,1,-1
9976520,1,1,-1
1168340,1,1,-1
929700,1,2,-1
5562657.69896,1,1.4655,-1
10644720,1,1,-1
1137608,1,1,-1
10665840,1,2,-1
5562657.69896,1,1.4655,-1
10293720,1,1,-1
1967596,1,2,-1
10437840,1,1,-1
10580360,1,1,-1
105492,1,2,-1
863820,1,2,-1
10374120,1,1,-1
6227000,1,1,-1
3094784,2,1,-1
6400120,1,2,-1
7503040,1,1,-1
4196960,1,2,-1
858772,1,1,-1
10248960,2,1,-1
10550240,1,2,-1
1698280,1,2,-1
10670080,1,2,-1
5562657.69896,2,2,-1
10713600,1,2,-1
10389800,2,2,-1
5095040,1,2,-1
5562657.69896,1,1,-1
9335000,1,1,-1
9752840,1,1,-1
4673560,1,2,-1
10203920,1,2,-1
10447840,1,1,-1
10456360,1,1,-1
2582484,1,1,-1
1046192,1,1,-1
5562657.69896,2,1,-1
10848160,1,2,-1
5562657.69896,2,2,-1
5562657.69896,1,1,-1
5562657.69896,1,2,-1
7883680,2,2,-1
10671200,1,2,-1
51724,1,1,-1
7701520,2,2,-1
10596120,2,2,-1
635952,1,1,-1
9899400,1,1,-1
5562657.69896,1,2,-1
10327480,1,1,-1
10614800,1,1,-1
5562657.69896,1,2,-1
5562657.69896,1,2,-1
10442200,1,2,-1
3995884,1,1,-1
10603480,1,1,-1
10342600,1,1,-1
4747640,1,2,-1
1142448,1,1,-1
85300,2,2,-1
166784,1,1,-1
10550280,1,2,-1
10656760,1,1,-1
5562657.69896,2,2,-1
4727920,1,2,-1
10528960,1,2,-1
5562657.69896,1,1,-1
10537080,2,1,-1
368148,1,1,-1
10699680,1,2,-1
9413120,1,1,-1
4738800,1,2,-1
10638680,1,1,-1
703232,1,2,-1
972772,2,2,-1
5125920,1,2,-1
7287800,1,1,-1
2378248,1,1,-1
5562657.69896,1,2,-1
10789160,1,1,-1
5562657.69896,2,2,-1
10673320,1,2,1
10335160,1,2,-1
10609320,2,2,-1
5739760,1,2,-1
9356640,1,2,-1
9940120,1,1,-1
10405480,1,1,-1
9224320,1,1,-1
9587000,1,2,-1
10363280,2,2,-1
10335600,1,1,-1
1920268,1,2,-1
5562657.69896,2,2,-1
93568,1,2,-1
254300,1,2,-1
401816,1,1,-1
9758240,1,1,-1
10618880,1,2,-1
884784,1,1,-1
9838760,2,1,-1
10792040,1,1.4655,-1
5562657.69896,1,1,-1
272072,1,2,-1
10426920,1,1,-1
2941304,1,1,-1
2016880,1,2,-1
3123544,1,2,-1
9824040,1,1,-1
1506336,1,1,-1
788224,1,2,-1
9745320,1,1,-1
5562657.69896,1,2,-1
5562657.69896,1,1,-1
634788,1,2,-1
235432,1,1,-1
10505160,1,1,-1
462072,1,1,-1
10757160,2,2,-1
8048680,1,1,-1
4605600,1,1,-1
10475640,1,2,-1
10437480,1,1,-1
1453124,1,2,-1
10650200,2,2,-1
7845400,2,2,1
10579400,2,2,-1
169116,1,2,-1
5562657.69896,1,1,-1
10121040,2,2,-1
4779280,1,1.4655,-1
10665640,1,1,-1
10093120,1,1,-1
9571360,1,2,-1
4346240,1,1,-1
10377240,1,2,-1
508624,1,1,-1
1068000,2,1,-1
3198628,2,2,-1
4149320,2,2,-1
150768,1,1.4655,-1
5562657.69896,1,1,-1
614104,1,1,-1
10615880,1,2,-1
12682480,1,1,-1
1571948,1,1,-1
10520640,2,2,-1
6782120,1,2,-1
7017680,1,2,-1
77976,1,2,-1
3439104,1,1,-1
789816,1,2,-1
10807440,2,2,-1
2734948,1,2,-1
10202080,1,1,-1
9676800,2,2,-1
6584,1,2,-1
9284160,1,1,-1
10448080,1,1,-1
5562657.69896,2,2,-1
5562657.69896,2,2,-1
1832556,1,2,-1
10713600,1,2,-1
247928,1,1,-1
7888400,1,1,-1
4036200,1,2,-1
138412,1,1,-1
10701840,1,2,-1
1663192,1,2,-1
10547600,1,2,-1
10553560,1,2,-1
8918880,2,1,-1
5562657.69896,2,2,-1
5562657.69896,2,1,-1
6833480,1,1,-1
10588640,1,1,-1
5562657.69896,2,2,-1
273392,1,1,-1
5562657.69896,2,1,-1
2350660,1,1,-1
10459640,1,1,-1
10296360,1,1,-1
10300600,1,2,-1
217680,1,1,-1
10578400,1,1,-1
1190024,1,1,-1
5562657.69896,2,1,-1
9424840,2,2,-1
1443020,1,1,-1
9077840,1,2,-1
7822200,1,1,-1
1952864,1,2,-1
5562657.69896,1,1,-1
10738640,1,1,-1
3156264,1,1,-1
709804,1,2,-1
215428,1,1,-1
5562657.69896,2,1,-1
10489320,1,2,-1
10368000,2,2,-1
2273292,1,1,-1
5551400,1,1,-1
5562657.69896,1,1,-1
4577840,2,2,-1
5562657.69896,2,2,-1
2566496,1,1,-1
8997280,1,1,-1
521724,1,1,-1
10646040,2,2,-1
10354160,1,1,-1
7237080,1,2,-1
4524320,1,1,-1
10478400,1,2,-1
10278880,1,2,-1
597416,1,2,-1
357044,2,2,-1
8886920,2,1,-1
921712,1,2,-1
2365452,1,2,-1
10393440,2,1,-1
10004560,1,1,-1
931876,2,1,-1
5562657.69896,1,2,-1
8159920,1,1,-1
10580200,1,1,-1
7175520,1,1,-1
5778120,1,2,-1
531944,1,1,-1
3680124,2,1,-1
9676800,1,2,-1
11004720,2,1,-1
4138800,1,1,-1
10500120,2,1,-1
10426360,2,2,-1
10369600,2,2,-1
2064856,1,2,-1
2060536,1,2,-1
7473960,1,1,-1
9078800,1,2,-1
10608040,1,2,-1
4098440,2,2,1
2545048,1,1,-1
975008,1,2,-1
9267880,1,2,-1
10701760,2,2,-1
5058880,1,1,-1
5440120,1,1,-1
10523360,1,1,-1
570948,1,1,-1
10346400,1,1,-1
9815120,1,1,-1
2613412,1,2,-1
10549480,1,1,-1
10121000,1,2,-1
10435080,1,1,-1
10473920,1,1.4655,-1
10563240,2,2,-1
5562657.69896,1,1,-1
10298080,2,2,-1
5562657.69896,1,1,-1
1659064,1,2,-1
10278840,2,1,-1
3293408,1,1,-1
4433200,2,2,-1
6732160,1,2,-1
2264508,1,2,-1
10735440,2,1,-1
9676800,2,1,-1
10249920,1,1,-1
8236560,1,2,-1
5562657.69896,1,1,-1
5562657.69896,2,2,-1
5562657.69896,2,2,-1
771716,1,2,-1
10805600,1,1,-1
10284520,1,1,-1
8326880,1,1,-1
6225400,2,2,-1
10162720,1,1,-1
5562657.69896,1,1,-1
10534640,1,1,-1
10368000,1,2,-1
10902000,2,2,-1
5562657.69896,1,1,-1
10343160,1,1,-1
3490328,1,2,-1
10573200,1,1,-1
90424,1,1,-1
5562657.69896,1,1,-1
1119236,1,1,-1
22536,1,2,-1
316280,1,1,-1
7674800,1,2,-1
6855400,1,1,-1
197032,1,2,-1
7337360,1,1,-1
230312,1,1,-1
46756,1,2,-1
353356,1,1,-1
6766440,1,2,-1
5562657.69896,2,1,-1
4346480,1,1,-1
10333680,1,1,-1
9235640,1,1,-1
5562657.69896,1,1,-1
10569720,1,2,-1
5562657.69896,1,1,-1
664108,1,2,-1
9097440,2,1,-1
3563100,1,1,-1
2889008,1,1,-1
2497112,1,1,-1
8495840,2,2,-1
10117240,1,1,-1
3459772,2,2,-1
10223800,1,1,-1
10466760,1,1,-1
1281320,1,2,-1
499892,1,1,-1
5562657.69896,2,1,-1
10483160,1,1,-1
5562657.69896,2,2,-1
10293800,1,2,-1
9970040,1,1.4655,-1
10733320,2,1,-1
3066924,1,2,-1
1483360,2,1,-1
319664,1,1.4655,-1
10543840,1,1,-1
9974920,1,2,-1
125408,1,1,-1
5562657.69896,2,1,-1
10289280,2,2,-1
9834280,1,1,-1
5562657.69896,1,2,-1
10318320,1,2,-1
10620600,2,2,-1
5562657.69896,1,2,-1
684888,1,1,-1
423484,1,1,-1
5562657.69896,1,1,-1
9081280,1,1,-1
6564320,1,2,-1
10143040,1,1,-1
10311360,1,1,-1
10561440,1,1,-1
10585640,1,1,-1
5562657.69896,1,1,-1
10635440,1,2,-1
12664160,1,2,-1
9830560,1,2,-1
398056,1,1,-1
10575240,1,2,-1
9648160,1,1,-1
1709236,1,2,-1
10550840,1,1,-1
680108,1,1,-1
8379440,1,2,-1
9991800,2,1,1
3039664,1,1,-1
10262280,1,2,-1
97064,1,2,-1
471064,1,1,-1
10696080,1,1,-1
10506720,1,1,-1
10508320,1,1,-1
9676440,1,1,-1
10028120,1,2,-1
10517480,1,1,-1
339732,2,2,-1
247068,1,2,-1
244412,1,1,-1
5562657.69896,1,2,-1
10761440,2,1,-1
5562657.69896,2,2,-1
5562657.69896,2,2,-1
2852360,1,1,-1
2483400,1,1,-1
8357400,1,2,-1
10588760,1,1.4655,-1
5562657.69896,1,1,-1
9636160,1,2,-1
10509800,1,2,-1
3091664,1,1,-1
9261920,1,1,-1
10603080,2,2,-1
351900,1,1,-1
10234600,1,2,1
10258200,1,2,-1
9014600,1,2,-1
10507680,1,1,-1
5562657.69896,1,1,-1
1759768,1,1,-1
10493520,1,1,-1
9329720,1,1,-1
219584,2,1,-1
1400852,1,2,-1
691728,1,1,-1
2020984,2,2,-1
1046472,1,1,-1
10368000,2,2,-1
8216840,1,1,-1
97868,1,1,-1
197248,1,2,-1
564592,2,2,-1
5562657.69896,1,1,-1
10665520,1,1,-1
10452000,1,2,-1
10750760,1,1,-1
5562657.69896,2,2,-1
10497440,1,1,-1
10388320,1,2,-1
5562657.69896,2,2,-1
10481120,1,1,-1
10097800,1,1,-1
6445240,2,2,1
9989240,2,2,1
8671120,1,2,-1
425224,1,2,-1
10019840,1,2,-1
5562657.69896,2,1,-1
317468,1,2,-1
5562657.69896,2,1,-1
1697692,1,2,-1
2173328,1,2,-1
3981708,1,2,-1
10364680,1,2,-1
1032176,1,1,-1
10371120,1,1,-1
9085960,1,1,-1
10760720,2,2,-1
386368,1,1,-1
10882760,1,2,-1
8464800,1,1,-1
11368400,1,2,-1
9914280,1,2,-1
5562657.69896,2,2,-1
10636080,1,2,-1
6828400,1,2,-1
3453796,1,1,-1
312656,1,2,-1
627544,1,2,-1
5562657.69896,1,1,-1
1722840,1,1,-1
356656,1,1,-1
10833400,1,1,-1
1519152,1,1,-1
2610492,1,2,-1
10346720,1,2,-1
