@relation data
@attribute Var81 numeric
@attribute Var113 numeric
@attribute Var126 numeric
@attribute Var193 numeric
@attribute Var207 numeric
@attribute Var218 numeric
@attribute churn numeric
@data
219777.6,139857.6,-0.39968,38,10,2,-1
209577.3,166250.8,4,38,10,1,-1
46011.6,-45703.2,28,38,10,2,-1
91685.018146058,-4814400,-0.39968,38,10,1,-1
7624.53,28480.44,-0.39968,38,10,2,-1
60488.1,-144249.6,-0.39968,38,10,1,-1
6327.271,-560420,34,2,5,1,-1
91851,-919272,4,38,10,2,-1
231200.4,-339881.6,-30,2,5,2,-1
81335.09,188559.6,-0.39968,38,6,1,1
16248.84,93452,8,14,6,2,-1
91685.018146058,-153278.608486739,-0.39968,38,10,1,-1
211965,234156.4,-6,38,10,2,-1
25944.84,-58746,16,38,10,2,-1
91685.018146058,-1296192,4,38,10,1,-1
61824.9,504212,-2,38,10,1,-1
216189.3,126723.2,30,38,10,2,-1
91685.018146058,-1264624,4,38,10,1,-1
226795.5,-300670,-22,38,10,1,-1
45755.7,12812.16,24,38,10,1,-1
337830,-35327.72,-4,38,9,2,-1
212270.7,162311.6,14,25,10,1,-1
87128.41,-264449.6,-0.39968,32,5,2,-1
102685.2,119277.6,36,14,2,2,-1
5705.22,-83191.6,4,38,9,1,-1
167645.1,97728,30,38,6,2,-1
161654.4,83468.8,-10,38,10,2,-1
196116.9,51529.2,10,38,9,1,-1
43760.4,518084,-24,38,10,1,-1
91685.018146058,443404,-14,38,10,1,-1
8581.801,-88029.2,34,38,9,1,-1
51798.6,-442156,-26,38,10,2,-1
157363.8,208085.2,-0.39968,2,10,2,-1
133655.7,45714,-0.39968,38,10,2,-1
112851.9,155181.2,22,38,10,2,-1
148380.3,162194.4,-0.39968,38,10,2,-1
96200.41,-328404.8,4,38,6,2,-1
91685.018146058,-1253876,-18,38,10,1,-1
22715.79,133076.4,-0.39968,16,2,1,-1
4918.11,-84387.2,4,38,10,1,1
5576.85,-1912076,-0.39968,38,10,1,-1
7803,-1503100,-0.39968,2,5,1,-1
4173.9,5342.72,4,38,6,1,-1
40320.3,-50337.6,6,38,5,1,-1
203344.2,55484,-20,38,10,2,-1
3028.35,8865.84,6,38,5,1,-1
195844.2,282680.4,-22,38,10,2,-1
218610,345241.6,-20,2,10,1,-1
85881.3,90504,-0.39968,38,10,2,-1
892.686,12658.72,-0.39968,38,10,1,-1
91032,165690,4,38,10,2,-1
73201.5,127152.4,-0.39968,2,10,2,-1
14202.06,-2526.716,4,38,10,2,-1
197769.3,-44806.4,-0.39968,38,10,1.4655,1
8298.811,126146.4,34,2,5,1,-1
20612.52,10789.56,-30,2,5,2,-1
7777.32,-24990.56,-0.39968,2,11,2,-1
91685.018146058,723464,-30,38,10,1,-1
123060.9,254301.6,-22,38,10,2,-1
91685.018146058,-2275892,-16,38,10,1,-1
200558.7,531496,-0.39968,38,9,1,-1
91685.018146058,-735160,4,38,6,1,-1
153960.9,926436,-30,38,10,1,-1
187515.9,68819.6,34,38,5,1,-1
192642.6,321746.4,-0.39968,38,10,2,-1
5448.96,-15751,-0.39968,38,5,2,-1
81451.5,323614.4,-0.39968,38,9,1,-1
3813,-242163.2,6,38,9,1,-1
162357.6,-14256.72,-26,38,10,1,-1
34491.9,350274,-24,38,10,1,-1
4539.45,-31844.72,-26,38,10,1,-1
181287.9,-9072.44,-22,38,10,1,-1
194089.5,233151.6,40,38,10,1,-1
199090.5,387300,4,38,10,2,-1
198899.7,-163846.8,20,2,10,1,-1
91685.018146058,-617020,-0.39968,38,6,1,-1
125794.8,174617.6,-0.39968,7,8,1,-1
335673,-225552,4,38,10,1,-1
220503.9,64339.2,8,38,5,1,-1
178514.1,47618,-20,38,10,1,-1
56428.8,323961.6,-0.39968,2,10,1,-1
5314.26,-1252908,4,38,10,1,-1
226372.5,128807.6,20,2,10,1,-1
128806.2,-251518.4,-30,38,10,1,-1
23439.21,-358170.8,4,14,6,1,-1
3922.5,5465.84,4,2,10,1,-1
12560.25,-131822.8,-0.39968,38,10,2,1
41549.1,-582668,4,38,10,2,-1
178758,79450.4,30,38,10,2,-1
13611.63,54390,-30,38,10,1,-1
34122.6,106522.8,-0.39968,38,10,2,1
80075.7,-241398,-0.39968,38,10,1,-1
91685.018146058,-1497760,4,38,6,1,-1
143472.3,-23370.72,-20,38,10,2,-1
7306.68,34877.84,4,38,4,2,-1
185193,325143.6,10,37,5,2,-1
204562.5,148292.8,4,38,10,2,-1
193114.2,207546.4,12,38,6,1,1
7212.84,35.71428,-0.39968,38,10,2,-1
91685.018146058,338016.4,-14,38,10,2,-1
91685.018146058,-1787748,-0.39968,38,6,1,-1
91685.018146058,-1549116,-14,38,10,2,1
185112.3,100056.4,8,38,6,1,-1
220639.2,166670.8,-0.39968,45,6,1,-1
192591,363598,-20,38,10,1,-1
203421.9,98851.6,-30,38,10,2,-1
22964.91,-1152228,16,38,10,2,-1
22332.39,-96118.8,4,38,5,1.4655,-1
231097.5,-280621.2,-24,32,5,2,-1
50584.8,47441.2,-0.39968,38,5,1,-1
227434.2,109776.4,4,38,10,1,-1
91685.018146058,-2281048,-20,38,8,2,-1
35287.8,99042.4,-22,38,10,1,-1
91685.018146058,-32738,4,38,10,1,-1
86718.91,49944.4,4,38,10,1,-1
213413.7,-553520,-10,38,10,1,-1
5447.82,24636.44,16,38,10,2,-1
205999.2,141128.4,-0.39968,2,10,2,-1
30911.1,204862.4,-0.39968,38,10,2,-1
25841.82,296858.8,36,38,9,1,-1
16624.29,169538.8,20,38,10,1,-1
4359.51,-1524160,-22,2,11,1,-1
40342.5,-500044,-0.39968,1,5,2,-1
91685.018146058,-682772,-14,38,10,2,-1
240727.5,84470.4,4,38,10,2,-1
26458.95,-135452.4,4,38,6,2,1
42839.7,23064.16,-20,38,10,2,-1
68480.7,144104,-0.39968,2,10,2,-1
196968,87913.6,-18,38,10,1,-1
38205.9,147233.6,-0.39968,38,10,1,-1
91685.018146058,-1104892,-18,7,5,1,1
88428.3,-403644,-22,38,10,2,-1
80883.59,-759520,-14,38,10,2,-1
218427,-160032.8,-20,38,10,2,-1
225849.9,60548.8,30,38,10,1,-1
34900.8,-79208.4,-0.39968,44,5,2,-1
150534.6,130591.6,-0.39968,38,10,1,1
78792.3,128249.2,-30,38,10,2,-1
16423.53,20031,-28,7,5,2,-1
89800.2,18937.16,-0.39968,38,10,2,1
85834.5,-70179.2,4,2,11,1,-1
211328.7,99491.2,14,38,6,1,-1
12289.41,-501952,-12,38,10,1,-1
34929.9,132990,4,38,10,2,-1
12637.32,97878.8,-0.39968,25,10,1,-1
7753.65,-626192,4,38,10,2,-1
91685.018146058,-153278.608486739,-0.39968,2,10,2,-1
82462.2,-232070.4,-20,32,5,1,-1
142433.7,-90198,4,38,10,1,-1
218850.3,215164,4,38,10,1,-1
75209.41,252486,-8,38,10,2,1
20099.91,-203837.2,14,38,10,1,1
162144.3,130923.6,-0.39968,38,10,1,-1
91685.018146058,-3752064,-20,38,10,2,1
156573.9,25946.56,-30,38,10,2,-1
91685.018146058,-1597116,-18,38,10,2,-1
26872.65,275214,-20,7,5,2,-1
220194.3,-128270,8,38,10,2,-1
117214.5,113571.2,-0.39968,2,10,2,-1
16403.28,-285175.2,22,25,10,1,-1
77402.41,81368.4,34,7,11,2,-1
65413.5,273194.8,32,42,5,2,-1
2984.856,-5105.44,-0.39968,38,5,2,-1
229840.5,12068.44,4,38,10,2,-1
9612.12,6698,-6,38,10,1,-1
141177.3,1006108,-0.39968,2,10,1,1
13419.54,-134076.4,56,38,10,1,-1
188333.7,-17188.44,4,38,10,1,-1
221728.2,528628,-22,38,10,2,-1
2428.338,-25714,4,38,11,2,-1
21746.79,51384.8,4,7,5,2,-1
212155.8,378522,-20,38,10,1,-1
91685.018146058,-1104416,-16,38,10,2,-1
91685.018146058,-588728,-16,38,10,1,-1
63087.3,-140552,-0.39968,38,10,2,1
225576,86058,-0.39968,2,10,2,-1
235742.4,60728,8,38,10,2,-1
4689.09,-2026.284,-0.39968,38,10,2,-1
189834.6,-33131.72,4,38,10,2,-1
163885.5,218816,-0.39968,38,10,1,-1
70921.8,495356,-28,38,6,1,-1
35017.8,219439.6,-0.39968,38,10,1,-1
197261.7,-153278.608486739,18,38,10,1,-1
203831.7,311690.4,8,38,10,2,-1
145544.7,21963.28,38,38,10,1,-1
246914.4,-760000,-18,7,8,2,-1
23305.47,100794.4,-28,2,11,2,-1
5656.62,8212.84,4,38,10,2,-1
177134.4,213052.4,4,25,10,2,-1
6428.55,-239077.2,-12,2,10,1,-1
91685.018146058,-1737036,-30,38,10,1,-1
7051.021,-485652,-30,38,10,1,-1
234856.2,94989.6,-0.39968,38,10,1,-1
13143.81,-153278.608486739,-0.39968,7,11,2,-1
319368,149585.2,4,38,9,1,1
210144.6,190624.4,4,7,8,1,-1
189483.3,246016,-24,38,10,1,-1
116400.9,240450.4,4,38,10,1,-1
177706.2,169637.2,4,38,10,2,-1
52389,98626,-10,38,10,1,-1
70540.2,426932,14,38,10,2,-1
10249.8,43227.6,-0.39968,38,10,1,-1
91685.018146058,-1507112,-22,38,10,1,-1
18092.01,-26261.44,32,7,11,1,-1
91685.018146058,-2012448,-16,38,10,1,-1
111482.1,109647.2,-0.39968,2,11,1,-1
46683.6,718804,4,38,10,1,1
230352.6,134140.4,16,38,10,2,-1
161776.5,92404,6,7,5,1,-1
91685.018146058,-1561484,-26,38,10,2,-1
187659.9,534180,-26,38,10,2,-1
29099.49,-64961.6,-0.39968,38,10,2,-1
91685.018146058,-3871592,-20,38,10,1,-1
12486.03,2654.428,26,38,9,1,-1
5955.45,-1651924,-20,2,5,1,-1
18416.61,274595.2,-0.39968,11,5,2,-1
228633.6,254015.2,4,13,9,1,1
172721.4,-302150.4,4,2,6,1,-1
173678.4,346041.2,4,38,9,2,-1
114210.9,113124.8,-0.39968,38,9,1,-1
69473.09,237350.8,-0.39968,2,10,1,-1
17840.34,92357.2,-30,2,11,2,-1
235614,287732.4,-0.39968,43,5,1.4655,-1
172830,-2303740,-18,38,10,2,-1
174088.2,179339.2,-30,2,10,1,-1
40950.9,-10396.84,-0.39968,2,11,2,-1
91685.018146058,-153278.608486739,-0.39968,38,9,1,-1
13017.54,126451.6,-0.39968,2,10,2,-1
9076.17,-54864,26,38,10,2,-1
41576.4,-29517.28,-0.39968,2,10,1,-1
20065.89,-41022.4,-0.39968,38,10,2,-1
62169.6,-56477.6,-0.39968,2,10,1,-1
78983.7,34791.44,46,38,10,2,-1
201726.9,63710.8,-30,38,10,2,-1
72734.09,62917.2,-0.39968,2,10,2,-1
186992.4,-1010240,-30,38,10,1,-1
28918.89,-107233.2,-0.39968,2,10,1,-1
36326.1,376265.6,-0.39968,2,5,1,-1
134777.4,145032,-0.39968,2,5,2,-1
225965.1,120427.6,-0.39968,32,5,2,-1
91685.018146058,-3033068,-20,38,10,2,-1
59608.5,121408.8,-0.39968,44,5,2,-1
12870.24,724612,4,2,10,1,-1
91685.018146058,-289544,-20,38,10,1,-1
3381.39,-9764.72,26,38,10,1,-1
7574.7,-1837908,-20,2,10,2,-1
128541,278491.6,-0.39968,36,10,2,-1
2427.564,13513.16,6,2,10,1,-1
209665.2,-823788,-0.39968,38,10,1,-1
175553.7,143504.8,4,2,10,1,-1
7753.979,-122009.6,50,38,10,1,-1
14431.05,-112317.6,-0.39968,38,10,2,-1
11451.84,-7546,-0.39968,38,10,2,-1
20181.9,8646,-0.39968,15,5,2,-1
218686.5,423768,-0.39968,38,10,1,-1
224705.7,457320,24,38,5,2,-1
209668.5,359362.8,54,2,10,2,-1
196416.3,324260,18,38,10,2,-1
94968,372820.4,20,38,10,2,-1
164295.3,-177512.4,24,38,10,2,-1
91685.018146058,-1976020,4,38,10,1,-1
170010.3,289551.6,-30,38,10,1,-1
2917.641,-2423048,-20,38,10,2,-1
180691.8,1091264,-28,38,10,1.4655,-1
194566.2,450360,-30,38,10,2,-1
29640.21,116484.4,-0.39968,38,10,2,-1
88268.41,141407.6,4,38,10,1,1
39211.5,99147.6,32,38,10,2,-1
242213.7,384524.4,4,38,6,1,-1
131536.8,171041.6,-2,38,10,1,-1
226080.9,104199.2,-0.39968,2,5,2,-1
13857.57,-566516,-24,38,10,2,-1
10828.98,-52342,8,38,10,1,-1
230815.8,133899.6,-24,31,5,2,-1
136692,185108,-0.39968,38,10,1,1
13572.48,-94876.4,-0.39968,16,5,2,1
38781.9,-310298.8,-22,38,6,1,-1
70300.5,-39385.56,10,38,10,1,-1
3391.47,19444,30,38,10,2,-1
90755.7,188561.6,-20,38,10,2,-1
33821.4,-45460.8,-0.39968,38,6,1,1
70329.3,-298746.4,-26,38,10,1,1
188910.9,199114.4,-24,2,5,2,-1
11575.29,-219891.6,-0.39968,38,10,1,-1
33604.5,-558832,4,38,10,1,-1
212835.6,-2144,4,38,10,1,-1
25681.41,95538.8,4,38,10,1,-1
280241.1,206735.2,4,38,10,2,-1
17973.54,100712.8,-0.39968,45,6,1.4655,-1
231919.8,-153278.608486739,-0.39968,38,9,1,-1
177270.9,128405.2,-0.39968,2,10,2,-1
219864,83453.6,-0.39968,38,10,2,-1
202336.8,182383.2,-22,38,10,1,-1
168963,-656632,4,38,8,1,-1
127781.7,-131134,4,38,5,1,1
211427.4,227204.4,8,38,10,2,-1
91685.018146058,-489064,4,38,10,1,-1
225499.2,139337.6,18,38,9,2,-1
12487.98,-47278.8,-0.39968,2,5,1,-1
91685.018146058,-1536500,-16,38,10,2,-1
9113.13,-11960.56,-0.39968,38,10,1,-1
91685.018146058,25272,-0.39968,38,10,2,-1
12786.06,-27763.16,34,38,10,2,-1
106125.9,445520,20,38,10,2,-1
192476.7,910472,4,38,10,2,-1
91685.018146058,1283348,-0.39968,38,10,2,-1
5225.46,-1336788,-0.39968,2,10,1,-1
187422.3,173344.4,4,38,8,1,-1
121358.1,138332,4,38,10,1,-1
155504.4,68344,4,38,10,1,1
120654.3,75306.4,4,38,9,1,-1
51256.2,318276.8,-20,38,10,2,-1
15993.78,525920,-0.39968,7,6,2,-1
19198.29,-1584848,-18,45,10,2,-1
1612.635,1992.144,-20,38,10,1,-1
136161.6,33747.28,4,38,10,2,-1
91685.018146058,-776948,-14,38,10,2,-1
196865.4,149080,36,38,10,2,-1
173558.4,965156,-30,38,9,2,-1
140471.1,73730.4,-24,38,10,1,-1
91685.018146058,-1655116,4,38,10,1,-1
7897.11,-1642040,-28,38,10,1,-1
247947.3,153616,4,2,10,1,-1
208050,-214508.8,8,38,10,1,-1
148227.6,551400,-8,38,10,1,-1
91685.018146058,-1023840,4,38,10,1.4655,1
56217.6,187478,-0.39968,39,11,1,-1
215884.5,171896.4,30,16,5,2,-1
192946.8,157361.6,4,38,10,2,-1
44124.3,128014,-30,38,5,2,-1
48620.1,-42109.2,-0.39968,51,11,2,-1
336702,50283.6,4,38,10,2,-1
91685.018146058,-2195648,4,38,10,1,-1
101431.8,1097676,-26,38,10,1,-1
251042.7,-87223.2,54,2,11,2,-1
192540.6,101969.6,20,38,10,2,-1
208174.8,821992,4,2,10,2,-1
96828,384981.6,4,38,10,1,-1
416520,239746,-8,38,10,2,-1
3284.58,-4078.16,4,38,10,2,-1
205395.3,132865.2,28,23,6,1,-1
78827.41,156130,4,38,10,2,-1
5810.82,-64084,-0.39968,2,10,1,-1
91685.018146058,-288254,-0.39968,38,10,2,-1
28353.33,-127659.2,-0.39968,2,11,2,-1
5543.94,26532.44,-0.39968,2,10,2,-1
225275.1,96046.4,-24,38,10,1,-1
7267.92,-3626832,-24,2,10,2,-1
77621.41,45181.6,8,2,10,2,-1
91685.018146058,-800952,-12,38,10,2,-1
15022.71,243047.6,-0.39968,26,5,2,-1
192394.8,146107.6,-0.39968,38,10,1,-1
115498.5,712648,-24,45,6,2,-1
10597.41,-1836660,-20,7,8,1,-1
91685.018146058,-153278.608486739,4,13,9,1,-1
58355.7,-488900,4,38,9,2,-1
91685.018146058,-2093820,-18,38,10,1,-1
166271.4,44288,44,7,5,2,-1
91685.018146058,-480320,-18,38,10,1,-1
68588.09,500232,4,38,10,1,-1
125808.3,-795652,-0.39968,38,10,1,-1
172611.9,143688,-0.39968,38,10,2,-1
217917.6,156046.4,-0.39968,38,10,1,-1
26655.27,898136,-6,2,10,2,-1
59392.5,205723.2,4,2,10,2,-1
220109.1,136875.6,-0.39968,38,10,1,-1
96877.5,-7466,-0.39968,38,10,1.4655,1
91685.018146058,-1164288,-20,38,10,2,-1
79418.41,504352,4,38,5,1.4655,1
140647.2,513556,12,38,10,1,-1
5419.77,4898.16,4,14,6,1,-1
7475.64,-307712,-22,38,10,2,-1
39633.9,120690.8,-0.39968,2,10,2,-1
197835.3,36570.84,4,13,9,1,-1
174228,-672776,18,38,10,1,-1
62217,532568,22,38,10,2,-1
81500.09,-692956,-0.39968,2,6,2,-1
9449.76,26826.72,-30,38,10,1,-1
26171.4,101826.8,40,38,10,2,-1
21596.1,-19716.56,38,7,5,1,-1
5311.05,-22568.56,-0.39968,2,10,1,-1
8162.55,-161340.4,28,2,10,1,-1
7156.32,55581.6,-30,38,5,1,-1
2196.759,-127201.2,-0.39968,38,10,1,-1
91685.018146058,-1568700,-20,38,10,1,-1
37184.7,-365706,22,38,10,2,-1
54401.1,35923,-0.39968,38,10,1,-1
30313.5,484140,-0.39968,38,10,1,-1
28836.6,-56260.8,58,38,10,2,-1
3719.79,-1821136,-20,38,10,1,-1
492939,-440480,-26,38,10,1,-1
199779.9,941976,-0.39968,38,10,1,-1
91685.018146058,-4477040,-20,38,10,2,-1
9635.25,3393.428,28,2,5,1,-1
67955.41,304190.4,4,2,10,1,-1
91685.018146058,-1274676,4,38,10,1,1
221676.3,426012,4,38,10,1,-1
94478.7,100534,20,38,6,1,-1
191518.5,116395.6,-0.39968,2,11,2,-1
201264.6,196610,-0.39968,2,10,2,1
223062.3,91049.2,-0.39968,38,10,2,1
2584.41,5147.44,-30,2,5,2,-1
208195.5,-63061.2,8,4,5,1,-1
56223.6,198076.8,4,38,10,2,-1
20823.48,141922,-0.39968,2,5,2,-1
10458.39,59934.4,6,38,10,1,-1
15381.09,331800.8,-30,38,10,1,-1
25263.84,-240386.8,14,38,10,1,1
81384.91,85266.8,-30,29,10,2,-1
5922.93,111352.4,30,38,6,1,-1
20204.94,-953840,-0.39968,38,10,2,-1
4629.9,-1151.144,-30,45,6,1,-1
59271.6,266593.6,-26,36,5,1,-1
63329.7,97680.8,14,38,10,1,1
39830.7,-619176,-20,38,5,2,-1
52873.8,346979.2,-0.39968,38,6,1,-1
3575.52,45346.8,-0.39968,32,5,2,-1
193198.8,143876.4,-0.39968,2,10,2,-1
7764.78,-91051.6,4,2,10,1,-1
56351.1,958924,28,38,10,2,-1
3486.72,-3547.856,34,38,10,1,-1
215042.1,-58300.8,24,38,10,2,-1
223021.2,157502.4,-0.39968,38,10,1,-1
91685.018146058,-1157312,-20,13,9,2,-1
91685.018146058,-153278.608486739,4,38,10,2,-1
91685.018146058,-1142596,-16,38,10,2,-1
91685.018146058,-465640,-20,38,10,2,-1
228101.4,-854372,4,38,10,1,-1
195225.3,177907.6,-22,38,10,2,-1
27269.16,3606.284,-30,38,10,1,-1
31715.4,96778,32,38,10,2,-1
59599.5,-156220.8,4,38,10,2,-1
212548.8,-125048,-8,38,10,2,-1
139361.7,101589.6,-20,38,9,1,-1
6501.9,-22655.56,24,2,5,2,-1
240407.7,440776,12,38,10,1,-1
91685.018146058,-1924452,4,38,5,2,-1
140141.1,19919.72,8,38,10,2,-1
4944.03,-13817.84,4,38,10,1,-1
10932.48,-994020,-0.39968,42,5,1,-1
33940.5,-961840,-0.39968,38,10,2,-1
7065.03,-13586,4,38,10,1,-1
116272.2,162844.8,62,38,10,1,-1
2600.376,-1436108,-28,7,5,1,-1
20691.99,34033.72,-26,2,10,2,-1
5964.9,-111875.6,4,38,10,2,-1
211471.5,94257.6,-28,38,10,1,-1
5115.78,-22699.16,-0.39968,38,10,2,-1
4363.92,-41999.2,4,2,11,1,-1
91685.018146058,-2476116,-0.39968,38,5,2,-1
110175.6,153697.2,4,38,10,2,-1
4579.14,-1740660,-20,14,8,1,-1
91685.018146058,-426596,-18,38,10,2,-1
91685.018146058,-1540220,-30,38,10,2,-1
4548.96,165371.6,-0.39968,1,5,2,-1
186375.9,570764,6,38,10,2,-1
4879.26,39816.44,14,38,10,1.4655,1
76506.3,328881.6,-30,2,10,2,-1
17995.65,-1051976,-28,38,10,2,-1
4781.04,23326,4,38,10,2,1
382296,-302346,-26,38,10,2,-1
232767,89500.4,-0.39968,26,10,1,-1
1581.609,-113162.4,-20,7,11,1,-1
20729.79,62328,40,38,10,1,-1
299931.9,-68547.6,38,38,10,1,-1
203479.8,219416,-0.39968,2,10,2,-1
10470.69,-138097.2,-0.39968,38,10,2,-1
126710.7,16605.84,-0.39968,38,10,2,-1
108561.9,241797.2,-20,38,10,2,-1
232680,73774.4,26,38,10,2,-1
22438.47,34356.56,-0.39968,38,10,1,-1
91685.018146058,-1126428,4,38,6,1,-1
217190.4,77473.6,16,38,10,2,-1
209852.7,191505.6,4,38,6,1,-1
140390.4,85962.8,-0.39968,2,11,1,-1
8288.4,-55923.6,-0.39968,38,5,1,-1
8537.22,-1410448,-28,38,10,2,-1
9288.57,-574876,4,38,10,2,-1
3329.76,523660,4,38,10,1,-1
91685.018146058,-1467552,-16,38,10,2,-1
18281.55,-470744,-0.39968,2,11,2,-1
197000.4,-182806,-12,38,10,2,-1
146059.5,228303.2,-0.39968,2,10,2,1
60165,-1502208,-0.39968,38,10,2,-1
7648.65,-1624636,-0.39968,7,11,2,-1
43075.5,212796.4,-30,38,10,1,-1
217443.3,203721.2,-20,38,10,2,-1
91685.018146058,-2272644,-0.39968,38,10,2,-1
137302.8,179415.6,-0.39968,38,10,1,-1
12126.72,-24501.28,18,38,10,1,-1
91685.018146058,-978840,4,38,10,1,-1
91685.018146058,-1975496,-18,38,10,2,-1
151337.4,162335.6,-30,38,10,1,-1
221864.7,140346,4,38,10,1,-1
108261.9,-73138,-0.39968,38,10,1,-1
11938.65,21468.44,-0.39968,2,5,1,-1
247660.8,20398.56,4,38,10,2,-1
206335.8,97965.2,-20,38,10,2,-1
178133.7,-59056,-0.39968,38,10,2,-1
91250.41,-1254524,-28,38,10,2,-1
12599.07,68109.2,36,2,10,1,-1
14329.77,-4788.84,64,2,10,2,-1
168988.2,109503.6,52,38,9,1,-1
91685.018146058,-1867776,-26,38,10,1,-1
65441.7,185576,-0.39968,38,10,2,-1
6525.9,427916,-0.39968,38,10,1,-1
162885.9,225011.6,14,38,10,1,-1
140040,-94970,-0.39968,25,10,1,-1
7923.69,66286,-0.39968,14,8,1,-1
81845.09,186009.2,-0.39968,2,5,1,-1
6030.72,-210892.4,-0.39968,7,11,1,-1
221105.7,-44806,-0.39968,38,10,1,-1
3948.63,-17800.56,28,2,10,2,-1
116847,114611.6,4,13,9,1,-1
56676.6,-99368,-26,38,5,1,-1
105488.1,62355.2,-26,38,10,1.4655,-1
219921.3,142862,-0.39968,2,10,1,-1
228648.3,87800,-30,38,10,2,-1
194662.8,-89813.6,-22,38,10,2,-1
10172.64,919752,-0.39968,38,10,2,-1
83828.09,95316,-30,38,10,2,-1
91685.018146058,-4467520,-20,38,10,1,-1
15314.85,-1332392,-18,38,10,1,-1
147296.7,300867.6,34,38,10,2,-1
2840.145,-153278.608486739,-0.39968,38,10,1,-1
9568.11,-61046,-0.39968,38,10,2,-1
359274,349090.8,-0.39968,38,10,1,1
251997.6,93968.4,32,38,10,2,-1
91685.018146058,-649832,4,13,9,1,-1
16464.09,-204006.4,8,38,10,1,-1
99581.09,138640.8,-0.39968,38,10,1,-1
197422.8,80641.2,-18,38,10,2,-1
99668.09,122270.4,8,2,10,1,-1
117289.8,224459.2,26,2,10,2,-1
30061.5,-120397.6,16,38,10,1,-1
226326.6,127710.4,36,38,10,1,-1
8901.96,-1614628,-22,38,10,2,-1
79522.2,-31436.84,4,38,10,1,-1
104187,-749940,-30,38,10,1,-1
231456.3,-102831.6,38,38,10,2,-1
31394.7,-10751.72,22,38,6,1,-1
91685.018146058,-2391920,-18,38,4,2,-1
91685.018146058,-3589732,6,38,10,1,-1
11326.5,-1531284,-0.39968,38,10,2,-1
229727.4,377087.6,-20,38,10,2,-1
111926.7,106456.4,4,38,10,2,-1
137757.6,80103.6,-20,38,10,2,-1
