@relation data
@attribute Var3 numeric
@attribute Var24 numeric
@attribute Var62 numeric
@attribute Var73 numeric
@attribute Var113 numeric
@attribute Var147 numeric
@attribute Var210 numeric
@attribute Var214 numeric
@attribute Var216 numeric
@attribute Var217 numeric
@attribute Var219 numeric
@attribute Var223 numeric
@attribute Var229 numeric
@attribute upselling numeric
@data
10.5474,2,0.05688,76,130967.2,0.0506,6,3681,986,9582,12,4,2,1
10.5474,4,0.05688,50,110152,0.0506,6,6478,1540,857,12,3,0.6312,-1
10.5474,10,0.05688,94,31352.44,0.0506,6,9904,1845,2735,9,3,2,-1
10.5474,3.85608,0.05688,12,-232682.8,0.0506,6,3765.55442,1073,12997,12,3,0.6312,-1
10.5474,14,0.05688,28,56047.2,0.0506,6,3765.55442,1928,7489,10.97706,2.60132,0.6312,-1
10.5474,4,0.05688,14,-533940,0.0506,6,3765.55442,1117,3137,12,3,0.6312,1
10.5474,3.85608,0.05688,40,-784240,0.0506,6,3765.55442,1073,3458,12,3,0.6312,-1
10.5474,4,0.05688,38,59592.4,0.0506,6,3765.55442,1500,2826,12,3,0.6312,-1
10.5474,22,0.05688,68,74015.6,0.0506,6,8382,1179,584,12,3,2,-1
10.5474,10,0.05688,114,4070.84,0.0506,6,14458,1786,11904,17,3,1,-1
10.5474,3.85608,0.05688,8,-1445444,0.0506,6,3765.55442,1178,403,12,3,0.6312,-1
10.5474,3.85608,0.05688,48,-838228,0.0506,6,1083,293,12520,12,3,1,-1
10.5474,3.85608,0.05688,28,-99980.8,0.0506,6,3765.55442,1270,12518,12,3,0.6312,-1
10.5474,3.85608,0.05688,12,-930600,0.0506,6,3765.55442,153,3332,10.97706,2.60132,0.6312,-1
10.5474,6,0.05688,66,156958,0.0506,6,7284,1231,13722,12,3,1,-1
10.5474,3.85608,0.05688,22,-153278.608486739,0.0506,6,3765.55442,1713,6281,12,2,0.6312,-1
10.5474,4,0.05688,118,1326872,0.0506,4,705,1696,10090,12,3,2,-1
10.5474,3.85608,0.05688,12,-27164.56,0.0506,6,3765.55442,1073,2820,12,3,0.6312,-1
10.5474,3.85608,0.05688,20,203009.2,0.0506,6,3765.55442,1073,5013,12,3,0.6312,-1
10.5474,8,0.05688,168,-1575292,0.0506,6,7193,100,12137,12,3,1,-1
10.5474,3.85608,0.05688,24,73289.2,0.0506,6,3765.55442,1073,13912,10.97706,2.60132,0.6312,-1
10.5474,2,0.05688,26,91308,0.0506,6,3765.55442,1270,13301,12,3,0.6312,-1
10.5474,3.85608,0.05688,16,94712.8,0.0506,6,3765.55442,822,3544,10.97706,2.60132,0.6312,-1
10.5474,4,0.05688,114,123549.2,0.0506,6,5314,108,12997,12,2,2,-1
10.5474,4,0.05688,64,-12328.36,0.0506,6,5906,78,6609,12,3,0.6312,-1
10.5474,3.85608,0.05688,42,98324.8,0.0506,6,3765.55442,1545,12757,12,3,0.6312,-1
10.5474,2,0.05688,32,85197.2,0.0506,6,3765.55442,1077,9823,12,3,0.6312,-1
10.5474,3.85608,0.05688,180,31176.44,0.0506,6,4591,1835,12330,9,4,2,-1
10.5474,3.85608,0.05688,120,142417.2,0.0506,6,12939,1845,7391,12,2,1,-1
10.5474,4,0.05688,48,58762.8,0.0506,6,7038,759,1789,12,3,0.6312,-1
10.5474,6,0.05688,30,145049.6,0.0506,6,3765.55442,1016,1956,12,3,0.6312,-1
10.5474,3.85608,0.05688,18,61957.6,0.0506,6,3765.55442,1178,8910,12,3,0.6312,-1
10.5474,8,0.05688,44,-29723.72,0.0506,6,3765.55442,1077,9563,9,4,0.6312,-1
10.5474,18,0.05688,56,7585.56,0.0506,6,3765.55442,348,4665,12,3,2,-1
10.5474,2,0.05688,146,102726,0.0506,6,15003,560,1463,12,3,1,-1
10.5474,8,0.05688,156,-344.8572,0.0506,6,7561,1845,4800,12,3,2,-1
10.5474,2,0.05688,186,115961.6,0.0506,6,14137,1831,1359,12,2,1,-1
10.5474,3.85608,0.05688,84,-153278.608486739,0.0506,6,2954,772,8656,12,2,1,-1
10.5474,3.85608,0.05688,48,164940,0.0506,6,3765.55442,1178,3048,12,3,1,-1
10.5474,3.85608,0.05688,12,-520268,0.0506,6,3765.55442,1113,9220,12,3,0.6312,-1
10.5474,6,0.05688,82,139857.6,0.0506,6,13509,772,2351,17,2,2,-1
10.5474,3.85608,0.05688,22,166250.8,0.0506,6,3765.55442,996,3721,12,2,0.6312,-1
10.5474,8,0.05688,54,-45703.2,0.0506,6,1977,1077,2121,12,3,1,-1
10.5474,3.85608,0.05688,4,-4814400,0.0506,6,3765.55442,1713,12966,10.97706,2.60132,0.6312,-1
10.5474,6,0.05688,100,28480.44,0.0506,6,8520,78,4921,12,3,1,-1
10.5474,4,0.05688,98,-144249.6,0.0506,6,4299,305,2209,12,3,2,-1
10.5474,4,0.05688,194,-560420,0.0506,6,13374,1035,2174,12,3,1,1
10.5474,3.85608,0.05688,22,-919272,0.0506,6,3765.55442,154,10292,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,158,-339881.6,0.0506,6,7871,538,1681,9,3,1,-1
10.5474,3.85608,0.05688,16,188559.6,0.0506,6,3765.55442,1928,2994,10.97706,2.60132,0.6312,-1
10.5474,4,0.05688,108,93452,0.0506,6,3765.55442,1632,6353,12,3,2,-1
10.5474,3.85608,0.05688,104,-153278.608486739,0.0506,4,3765.55442,305,9639,19,2,2,-1
10.5474,3.85608,0.05688,18,234156.4,0.0506,6,3765.55442,240,13285,12,3,0.6312,-1
10.5474,6,0.05688,42,-58746,0.0506,6,3765.55442,1073,3408,12,3,0.6312,-1
10.5474,3.85608,0.05688,10,-1296192,0.0506,6,3765.55442,1270,10653,12,3,0.6312,-1
10.5474,2,0.05688,22,504212,0.0506,4,3765.55442,684,13169,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,54,126723.2,0.0506,6,10514,821,13374,12,3,2,-1
10.5474,3.85608,0.05688,10,-1264624,2,6,3765.55442,1713,1906,10.97706,2.60132,0.6312,-1
10.5474,4,0.05688,22,-300670,0.0506,6,3765.55442,1270,4541,12,3,0.6312,-1
10.5474,8,0.05688,102,12812.16,0.0506,6,5280,1845,9097,12,3,2,-1
10.5474,2,0.05688,20,-35327.72,0.0506,6,3765.55442,1263,44,12,3,0.6312,-1
10.5474,2,0.05688,66,162311.6,0.0506,6,2755,1348,9130,12,3,2,-1
10.5474,16,0.05688,146,-264449.6,0.0506,6,13149,1400,6320,12,3,1,-1
10.5474,4,0.05688,116,119277.6,0.0506,6,10660,1632,1408,12,3,1,-1
10.5474,10,0.05688,58,-83191.6,0.0506,6,8376,1238,1539,12,3,1,-1
10.5474,10,0.05688,78,97728,0.0506,6,153,207,4894,12,3,1,-1
10.5474,3.85608,0.05688,14,83468.8,0.0506,6,3765.55442,1268,10877,10.97706,2.60132,0.6312,-1
10.5474,2,0.05688,34,51529.2,0.0506,6,3765.55442,1170,3333,19,2,0.6312,-1
10.5474,2,0.05688,58,518084,0.0506,6,3039,78,2175,12,3,0.6312,-1
10.5474,3.85608,0.05688,10,443404,0.0506,6,3765.55442,240,12331,12,3,0.6312,-1
10.5474,2,0.05688,58,-88029.2,0.0506,6,8863,1522,6987,12,2,1,-1
10.5474,3.85608,0.05688,88,-442156,0.0506,6,10477,772,11020,12,3,1,-1
10.5474,3.85608,0.05688,106,208085.2,0.0506,6,426,756,5580,12,4,1,-1
10.5474,2,0.05688,44,45714,0.0506,6,3765.55442,996,11428,12,3,0.6312,-1
10.5474,3.85608,0.05688,52,155181.2,0.0506,6,12078,1540,6961,12,2,2,-1
10.5474,3.85608,0.05688,42,162194.4,0.0506,6,3765.55442,996,4255,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,34,-328404.8,0.0506,6,3765.55442,1928,10517,12,3,0.6312,-1
6,3.85608,0.05688,6,-1253876,0.0506,6,3765.55442,173,11972,12,3,0.6312,-1
10.5474,4,0.05688,126,133076.4,0.0506,6,4449,279,1548,12,3,2,-1
10.5474,6,0.05688,58,-84387.2,0.0506,6,10358,78,12658,12,3,1,-1
10.5474,6,0.05688,86,-1912076,0.0506,6,544,772,4994,12,3,0.6312,-1
10.5474,18,0.05688,174,-1503100,0.0506,6,7653,498,6146,12,3,1,-1
10.5474,4,0.05688,16,5342.72,0.0506,6,3765.55442,1987,8208,12,3,0.6312,-1
10.5474,3.85608,0.05688,96,-50337.6,0.0506,6,3937,486,3681,12,3,2,-1
10.5474,2,0.05688,34,55484,0.0506,6,3765.55442,1077,9220,12,3,0.6312,-1
10.5474,10,0.05688,86,8865.84,0.0506,6,1300,1428,1464,12,3,1,-1
10.5474,3.85608,0.05688,48,282680.4,0.0506,6,2747,1266,6116,12,3,1,-1
10.5474,3.85608,0.05688,152,345241.6,0.0506,6,13805,560,379,12,3,1,-1
10.5474,3.85608,0.05688,84,90504,0.0506,6,14008,772,5088,12,3,2,-1
10.5474,6,0.05688,36,12658.72,0.0506,6,3765.55442,1140,11891,12,3,0.6312,1
10.5474,6,0.05688,18,165690,0.0506,6,3765.55442,1270,2271,12,3,0.6312,-1
10.5474,2,0.05688,132,127152.4,0.0506,6,6568,1819,12962,5,2,1,-1
10.5474,3.85608,0.05688,64,-2526.716,0.0506,6,9956,1077,13422,12,3,1,-1
10.5474,3.85608,0.05688,60,-44806.4,0.0506,6,11152,1011,6807.2223,12,4,2,-1
10.5474,20,0.05688,128,126146.4,0.0506,6,6603,495,3858,12,3,0.6312,-1
10.5474,14,0.05688,226,10789.56,0.0506,6,12202,2005,1522,12,3,1,1
10.5474,2,0.05688,124,-24990.56,0.0506,6,846,364,1563,12,3,1,-1
171,3.85608,0.05688,6,723464,0.0506,6,3765.55442,1016,3674,10.97706,2.60132,0.6312,1
10.5474,4,0.05688,88,254301.6,0.0506,6,5383,305,10203,12,2,1,-1
10.5474,3.85608,0.05688,8,-2275892,0.0506,6,3765.55442,173,3662,12,3,0.6312,-1
10.5474,8,0.05688,58,531496,0.0506,6,3765.55442,1545,11873,12,2,1,-1
10.5474,3.85608,0.05688,10,-735160,2,6,3765.55442,1928,7508,12,3,0.6312,-1
10.5474,3.85608,0.05688,34,926436,0.0506,6,3765.55442,1074,1718,12,2,0.6312,1
10.5474,3.85608,0.05688,90,68819.6,0.0506,6,423,1786,13798,12,2,2,-1
10.5474,3.85608,0.05688,48,321746.4,0.0506,6,11157,996,5815,12,4,2,-1
10.5474,3.85608,0.05688,100,-15751,0.0506,6,15299,833,12122,12,3,1,-1
10.5474,3.85608,0.05688,44,323614.4,0.0506,6,3765.55442,1522,4486,12,3,0.6312,-1
10.5474,3.85608,0.05688,32,-242163.2,0.0506,6,3765.55442,1170,1148,12,3,0.6312,-1
10.5474,16,0.05688,28,-14256.72,0.0506,6,3765.55442,1073,10629,12,3,0.6312,-1
10.5474,2,0.05688,88,350274,0.0506,6,8264,772,553,12,3,1,-1
10.5474,3.85608,0.05688,28,-31844.72,0.0506,6,3765.55442,1077,7488,12,3,0.6312,-1
10.5474,4,0.05688,42,-9072.44,0.0506,6,3765.55442,1077,11098,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,64,233151.6,0.0506,6,6011,1077,1994,12,3,2,-1
10.5474,3.85608,0.05688,24,387300,0.0506,6,3765.55442,1270,2941,18,3,0.6312,-1
10.5474,3.85608,0.05688,156,-163846.8,0.0506,6,3765.55442,1845,12439,12,3,1,-1
10.5474,3.85608,0.05688,10,-617020,4,6,3765.55442,1743,358,12,3,0.6312,-1
10.5474,4,0.05688,36,174617.6,0.0506,2,3765.55442,1586,6185,12,3,0.6312,-1
10.5474,3.85608,0.05688,14,-225552,0.0506,6,3765.55442,1073,7648,12,3,0.6312,-1
10.5474,2,0.05688,72,64339.2,0.0506,6,6883,348,3789,12,3,0.6312,1
10.5474,3.85608,0.05688,34,47618,0.0506,6,3765.55442,1266,11055,12,3,0.6312,-1
10.5474,10,0.05688,120,323961.6,0.0506,6,14294,78,10119,12,3,2,-1
10.5474,20,0.05688,34,-1252908,0.0506,6,3765.55442,78,11096,12,3,0.6312,-1
10.5474,3.85608,0.05688,136,128807.6,0.0506,6,10393,1316,379,12,3,2,-1
10.5474,3.85608,0.05688,32,-251518.4,0.0506,6,3765.55442,996,2831,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,66,-358170.8,0.0506,6,10575,1400,6015,12,3,1,-1
10.5474,6,0.05688,170,5465.84,0.0506,6,362,1845,4435,9,3,2,-1
10.5474,14,0.05688,88,-131822.8,0.0506,6,2618,305,3057,12,2,2,-1
10.5474,4,0.05688,12,-582668,0.0506,6,3765.55442,996,4906,12,3,0.6312,-1
10.5474,2,0.05688,54,79450.4,0.0506,6,11633,821,5708,12,3,1,-1
10.5474,3.85608,0.05688,80,54390,0.0506,6,6427,78,1941,12,3,1,1
10.5474,18,0.05688,34,106522.8,0.0506,6,3765.55442,996,9443,12,3,0.6312,-1
10.5474,2,0.05688,86,-241398,0.0506,4,5479,1845,11488,12,3,1,-1
10.5474,3.85608,0.05688,10,-1497760,4,6,3765.55442,1178,515,12,3,0.6312,-1
10.5474,2,0.05688,62,-23370.72,0.0506,6,6080,1266,1603,12,3,1,-1
10.5474,12,0.05688,72,34877.84,0.0506,6,8358,999,7683,12,3,0.6312,-1
10.5474,2,0.05688,136,325143.6,0.0506,2,1842,42,9389,12,3,1,-1
10.5474,2,0.05688,16,148292.8,0.0506,6,3765.55442,1073,10344,21,3,0.6312,-1
10.5474,4,0.05688,38,207546.4,0.0506,6,3765.55442,1079,13500,12,3,0.6312,-1
10.5474,20,0.05688,86,35.71428,0.0506,6,7771,772,11344,12,3,2,-1
10.5474,3.85608,0.05688,10,338016.4,0.0506,6,3765.55442,240,2355,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,8,-1787748,0.0506,6,3765.55442,1987,7483,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,10,-1549116,0.0506,6,3765.55442,786,1199,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,62,100056.4,0.0506,6,10781,282,2378,12,3,1,-1
10.5474,3.85608,0.05688,64,166670.8,0.0506,6,3765.55442,279,4577,12,3,0.6312,-1
10.5474,3.85608,0.05688,34,363598,0.0506,6,3765.55442,1077,6810,12,3,0.6312,-1
10.5474,3.85608,0.05688,96,98851.6,0.0506,6,3765.55442,305,12470,12,3,2,-1
10.5474,4,0.05688,40,-1152228,0.0506,6,3765.55442,1073,13340,12,3,0.6312,-1
10.5474,6,0.05688,16,-96118.8,0.0506,6,3765.55442,1073,6807.2223,12,3,0.6312,-1
10.5474,3.85608,0.05688,158,-280621.2,0.0506,6,3765.55442,1618,11910,12,3,1,-1
10.5474,2,0.05688,184,47441.2,0.0506,6,7883,107,1070,10.97706,2.60132,0.6312,-1
10.5474,2,0.05688,26,109776.4,0.0506,6,3765.55442,1073,3081,10.97706,2.60132,0.6312,-1
10.5474,3.85608,9,4,-2281048,0.0506,6,3765.55442,1157,5274,12,3,0.6312,-1
10.5474,2,0.05688,30,99042.4,0.0506,6,3765.55442,1016,5774,12,3,0.6312,-1
10.5474,3.85608,0.05688,8,-32738,0.0506,6,3765.55442,1073,1776,12,3,0.6312,-1
10.5474,3.85608,0.05688,18,49944.4,0.0506,6,3765.55442,1073,11408,12,3,0.6312,-1
10.5474,4,0.05688,14,-553520,0.0506,6,3765.55442,1603,4905,12,3,0.6312,-1
10.5474,4,0.05688,40,24636.44,0.0506,6,3765.55442,1077,8791,12,3,0.6312,-1
10.5474,2,0.05688,110,141128.4,0.0506,6,3765.55442,772,11028,12,2,2,-1
10.5474,3.85608,0.05688,38,204862.4,0.0506,6,3765.55442,1077,5910,12,3,0.6312,1
10.5474,8,0.05688,60,296858.8,0.0506,4,5481,1522,4529,12,2,2,-1
10.5474,3.85608,0.05688,46,169538.8,0.0506,4,3765.55442,1511,3689,12,3,0.6312,-1
10.5474,3.85608,0.05688,116,-1524160,0.0506,6,9107,1297,8581,12,3,2,-1
10.5474,8,0.05688,242,-500044,0.0506,6,3765.55442,546,13391,12,3,1,-1
10.5474,3.85608,0.05688,10,-682772,0.0506,6,3765.55442,240,12714,12,3,0.6312,-1
10.5474,4,0.05688,14,84470.4,0.0506,6,3765.55442,845,6683,12,3,0.6312,-1
10.5474,3.85608,0.05688,82,-135452.4,0.0506,6,14093,1473,5975,19,3,0.6312,-1
10.5474,8,0.05688,18,23064.16,0.0506,6,3765.55442,996,10710,12,3,0.6312,-1
10.5474,3.85608,0.05688,112,144104,0.0506,6,3197,305,13576,12,3,2,-1
10.5474,3.85608,0.05688,24,87913.6,0.0506,6,3765.55442,1073,6328,19,3,0.6312,-1
10.5474,3.85608,0.05688,74,147233.6,0.0506,6,13944,78,279,19,3,1,-1
10.5474,3.85608,0.05688,8,-1104892,0.0506,6,3765.55442,1213,11600,12,3,0.6312,-1
10.5474,3.85608,0.05688,86,-403644,0.0506,6,11365,772,6062,12,3,1,-1
10.5474,4,0.05688,52,-759520,0.0506,6,12203,996,2824,12,3,0.6312,-1
10.5474,3.85608,0.05688,24,-160032.8,0.0506,6,3765.55442,996,3614,12,3,0.6312,-1
10.5474,2,0.05688,54,60548.8,0.0506,6,5077,1073,11159,12,3,1,-1
10.5474,4,0.05688,202,-79208.4,0.0506,6,11187,552,5708,12,3,1,-1
10.5474,2,0.05688,58,130591.6,0.0506,4,5495,1120,1547,12,3,1,-1
10.5474,3.85608,0.05688,90,128249.2,0.0506,6,8197,1845,6100,12,3,2,-1
10.5474,4,0.05688,170,20031,0.0506,6,1405,68,1599,12,3,1,-1
10.5474,4,0.05688,18,18937.16,0.0506,6,3765.55442,1073,6670,12,3,0.6312,-1
10.5474,3.85608,0.05688,112,-70179.2,0.0506,6,3765.55442,1655,11440,12,2,1,-1
10.5474,3.85608,0.05688,38,99491.2,0.0506,6,3765.55442,1178,7062,12,3,0.6312,-1
10.5474,62,0.05688,14,-501952,0.0506,4,3765.55442,1511,7897,12,3,0.6312,-1
10.5474,4,0.05688,24,132990,0.0506,6,3765.55442,1073,11897,12,3,0.6312,-1
10.5474,8,0.05688,106,97878.8,0.0506,6,769,1348,5167,12,3,1,-1
10.5474,8,0.05688,14,-626192,0.0506,6,3765.55442,1073,9984,19,3,0.6312,-1
10.5474,3.85608,0.05688,104,-153278.608486739,0.0506,4,13769,305,10358,10.97706,2.60132,1,-1
10.5474,4,0.05688,156,-232070.4,0.0506,6,5411,1858,9354,9,3,1,-1
10.5474,3.85608,0.05688,34,-90198,0.0506,6,3765.55442,1077,851,12,2,0.6312,-1
10.5474,3.85608,0.05688,30,215164,0.0506,6,3765.55442,1077,12245,12,3,0.6312,-1
10.5474,2,0.05688,16,252486,0.0506,6,3765.55442,240,3256,12,3,0.6312,-1
10.5474,3.85608,0.05688,38,-203837.2,0.0506,6,3765.55442,1077,519,12,3,0.6312,-1
10.5474,4,0.05688,106,130923.6,0.0506,6,5722,772,12463,12,3,1,-1
10.5474,3.85608,0.05688,4,-3752064,0.0506,6,3765.55442,247,5598,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,64,25946.56,0.0506,2,3959,1073,3923,12,2,0.6312,-1
12,3.85608,0.05688,6,-1597116,0.0506,6,3765.55442,786,215,12,3,0.6312,-1
10.5474,2,0.05688,84,275214,0.0506,6,5344,480,1279,12,3,2,-1
10.5474,2,0.05688,32,-128270,0.0506,6,3765.55442,1077,12219,12,3,0.6312,-1
10.5474,3.85608,0.05688,112,113571.2,0.0506,6,12892,409,9683,12,3,2,-1
10.5474,16,0.05688,82,-285175.2,0.0506,6,9258,1288,1908,12,3,0.6312,-1
10.5474,2,0.05688,58,81368.4,0.0506,6,3765.55442,1725,10343,12,3,2,-1
10.5474,3.85608,0.05688,198,273194.8,0.0506,6,10996,1478,10890,5,2,1,-1
10.5474,18,0.05688,108,-5105.44,0.0506,6,5644,1723,3041,12,3,1,-1
10.5474,3.85608,0.05688,22,12068.44,0.0506,6,3765.55442,1270,10179,12,3,0.6312,-1
10.5474,4,0.05688,44,6698,0.0506,6,3765.55442,1540,9554,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,146,1006108,0.0506,6,400,1316,3748,12,3,2,-1
10.5474,22,0.05688,80,-134076.4,0.0506,6,8267,78,613,12,3,1,1
10.5474,3.85608,0.05688,16,-17188.44,0.0506,6,3765.55442,1073,12627,12,3,0.6312,-1
10.5474,3.85608,0.05688,58,528628,0.0506,6,3407,1077,2382,12,3,2,-1
10.5474,12,0.05688,82,-25714,0.0506,6,8970,1693,7364,12,3,0.6312,-1
10.5474,8,0.05688,180,51384.8,0.0506,6,3765.55442,34,3635,12,3,2,-1
10.5474,2,0.05688,60,378522,0.0506,6,5601,821,6421,12,4,2,-1
10.5474,3.85608,0.05688,8,-1104416,0.0506,6,3765.55442,1881,12147,12,3,0.6312,-1
10.5474,3.85608,0.05688,8,-588728,0.0506,6,3765.55442,173,1033,12,3,0.6312,-1
10.5474,3.85608,0.05688,18,-140552,0.0506,6,3765.55442,1156,9057,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,148,86058,0.0506,6,10908,305,12639,5,2,0.6312,-1
10.5474,3.85608,0.05688,32,60728,0.0506,6,3765.55442,1077,4687,12,3,0.6312,-1
10.5474,4,0.05688,50,-2026.284,0.0506,6,75,1540,944,12,3,1,-1
10.5474,2,0.05688,16,-33131.72,0.0506,6,3765.55442,1270,9182,12,3,0.6312,-1
10.5474,3.85608,0.05688,62,218816,0.0506,6,3636,821,81,12,3,2,-1
10.5474,36,0.05688,32,495356,0.0506,6,3765.55442,701,1051,12,3,0.6312,-1
10.5474,2,0.05688,108,219439.6,0.0506,6,7381,78,11833,12,2,2,-1
10.5474,3.85608,0.05688,42,-153278.608486739,0.0506,4,3765.55442,1511,6402,12,4,0.6312,-1
10.5474,2,0.05688,34,311690.4,0.0506,6,3765.55442,996,4800,12,3,0.6312,-1
10.5474,3.85608,0.05688,86,21963.28,0.0506,6,3297,1077,1772,12,3,2,-1
10.5474,3.85608,0.05688,12,-760000,0.0506,6,3765.55442,1500,7189,12,3,0.6312,-1
10.5474,2,0.05688,110,100794.4,0.0506,6,11836,1297,4856,12,3,2,-1
10.5474,2,0.05688,58,8212.84,0.0506,6,447,1214,9895,12,2,1,-1
10.5474,10,0.05688,84,213052.4,0.0506,6,14714,1288,11705,19,3,1,-1
10.5474,10,0.05688,114,-239077.2,0.0506,4,10727,1845,336,12,3,2,-1
10.5474,3.85608,0.05688,10,-1737036,2,6,3765.55442,1270,3565,12,3,0.6312,1
10.5474,32,0.05688,26,-485652,0.0506,6,3765.55442,996,5038,18,2,0.6312,1
10.5474,3.85608,0.05688,50,94989.6,0.0506,6,14013,1540,3770,18,2,1,1
10.5474,3.85608,0.05688,90,-153278.608486739,0.0506,6,2539,527,3607,12,2,0.6312,-1
10.5474,3.85608,0.05688,46,149585.2,0.0506,6,3765.55442,1522,10285,12,4,0.6312,-1
10.5474,2,0.05688,32,190624.4,0.0506,6,3765.55442,1801,3864,12,3,0.6312,-1
10.5474,3.85608,0.05688,52,246016,0.0506,6,12328,1073,9081,17,2,1,-1
10.5474,3.85608,0.05688,56,240450.4,0.0506,6,14710,78,10159,12,3,0.6312,-1
10.5474,2,0.05688,18,169637.2,0.0506,6,3765.55442,1270,10097,12,3,0.6312,-1
10.5474,8,0.05688,76,98626,0.0506,6,6886,78,7659,12,3,1,-1
10.5474,2,0.05688,38,426932,0.0506,6,3765.55442,1073,5274,12,3,0.6312,-1
10.5474,6,0.05688,60,43227.6,0.0506,6,14300,1845,11759,12,2,2,-1
10.5474,3.85608,0.05688,10,-1507112,0.0506,6,3765.55442,1270,3629,12,3,0.6312,-1
10.5474,3.85608,0.05688,56,-26261.44,0.0506,6,8034,1693,8497,12,3,2,-1
10.5474,3.85608,0.05688,8,-2012448,0.0506,6,3765.55442,173,5541,12,3,0.6312,-1
10.5474,3.85608,0.05688,130,109647.2,0.0506,6,7615,1655,2459,12,4,1,-1
10.5474,3.85608,0.05688,74,718804,0.0506,6,13027,78,8257,12,3,1,-1
10.5474,3.85608,0.05688,40,134140.4,0.0506,6,3765.55442,154,3256,10.97706,2.60132,0.6312,-1
10.5474,3.85608,0.05688,154,92404,0.0506,6,4548,1398,2898,12,3,2,-1
10.5474,3.85608,0.05688,10,-1561484,2,6,3765.55442,1073,5056,12,3,0.6312,-1
