@relation R_data_frame

@attribute Var126 numeric
@attribute Var218 {'',cJvF,UYBR}
@attribute Var229 {'',am7c,mj86,oJmt,sk2h}
@attribute Var74 numeric
@attribute Var73 numeric
@attribute Var113 numeric
@attribute Var81 numeric
@attribute Var193 {_7J0OGNN8s6gFzbM,2Knk1KF,2wnefc9ISdLjfQoAYBI,5QKIjwyXr4MCZTEp7uAkS8PtBLcn,8kO9LslBGNXoLvWEuN6tPuN59TdYxfL9Sm6oU,9U2tunPAje3TwfLLUQxzM3dC1ghn,AERks4l,B2T7ZTgOX7xpBPBD28SLvVWgBkc13Sm0a3tk2,BrRu5UxtiQY9TTJ8ABKpfS,bYmQ4nc,ByQdnLRlFnny2k4AJzG,DH86UFkz9LK6My0ezUgZx96oI,e6CkoqApVR,eSGpMwS8zSGgq_trOpckZ5,Fveq5yuDUj6drSMiZO3mXe,g62hiBSaKg,gGvYE2F8JHtPlbzkGbl,GpoBynXzkxADI7bZBtqvX2IPV5t7o2QCPE,hnq7pOcHWLojUTXc7HQutLwmffdy,iKEouAWeUBYR3fQ5tZmt_bDPIn6qT7tIGHs8L,IlTgyyFksv4BT,J71wxZB6Jn0CR82XoyV,JXVE,KjAW4rq3iyvu8XwKkyQ2_svIATjM3B5,LrdVolaSGUfkVeWC,LrdZy8QqgUfkVShG,MJdP52puUMWhmExsNdlkGDbNTFln2Eg,msph93375qXRfw6hcMceRRIDdmHq8wn,ND3t9Yro9U,NMCEYavk0YOlqn2jHeEDjP0xsdXeAZGnZDN0NOfV,NRCqczK,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,OpDzzQJ,PomAbFU,QG5U1Qs9mF3805lxYz2cGPnrm,qqimvRzsp8ZZdKRPgzLg68joSn_k,rEUOq2QD1qfkRr6qpua,RO12,snf9xe6PBwBZ8lKzhEz,SrUWsbENd7prk,T9RM7fDFhhZjjBFsk5zptG,TW8dXluYzKpktZjuY8kSPBaZa,ues7INAmyjdS1vDd0YL9jU,vuPfq6YcbX,w9ygS99Qp_,wvnt2iBhAPeGqIKaFUxJc6ca3IYp,X1rJx42ksaRn3qcM,X2uI6IsGev,yaM_UXtlxCFW5NHTcftwou7BmXcP9VITdHAto,z3s4Ji522ZB1FauqOOqbkl,zPhCMhkz9XiOF7LgT9VfJZ3yI}
@attribute Var207 {0MCPoln,15TtzZrRt2,5iay,6C53VA1kCv,7M47J5GA0pTYIFxg5uy,DHn_WUyBhW_whjA88g9bvA64_,EBKcR3s6B22tD6gC36gm6S,GjJ35utlTa_GNSvxxpb9ju,Kxdu,me75fM6ugJ,NKv3VA1BpP,o0ZZAVSQ32YuE,tMBVJkA0xJMEATvl4ht,wXfldy7}
@attribute churn {Change,Stay}
@attribute appetency {Change,Stay}
@attribute upselling {Change,Stay}

@data
-0.55388,cJvF,am7c,63,224,-54260.4,86986.8,NRCqczK,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,cJvF,'',0,18,101072,119040.6,RO12,me75fM6ugJ,Change,Change,Stay
20,cJvF,'',161,130,111511.2,93002.41,RO12,Kxdu,Change,Change,Change
-0.55388,'',am7c,7,88,27909.72,14518.35,AERks4l,NKv3VA1BpP,Change,Change,Change
-0.55388,'',mj86,21,74,167384.4,175746,RO12,me75fM6ugJ,Stay,Change,Change
46,UYBR,am7c,42,100,-17904,33581.7,RO12,me75fM6ugJ,Stay,Change,Change
-0.55388,cJvF,'',0,14,142389.6,121841.7,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,28,100710.4,227724.3,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',84,38,-892312,6506.16,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Stay
-0.55388,UYBR,am7c,742,98,67931.6,221594.4,RO12,5iay,Change,Change,Change
-30,cJvF,am7c,0,56,-97134.4,16444.26,PomAbFU,me75fM6ugJ,Change,Change,Stay
4,UYBR,'',0,16,-31784,137333.4,RO12,me75fM6ugJ,Change,Change,Change
14,cJvF,am7c,182,110,681304,45745.5,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
10,cJvF,mj86,35,126,-117793.6,70716.59,2Knk1KF,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,20,-60960.4,130488,RO12,me75fM6ugJ,Change,Change,Change
24,cJvF,am7c,280,224,-4615.56,219903.6,TW8dXluYzKpktZjuY8kSPBaZa,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,cJvF,mj86,142156,62,136160.8,163375.5,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,cJvF,am7c,7,144,431336,186812.1,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,42,122,72901.6,45606,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-26,UYBR,am7c,154,216,104962.4,204326.4,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-20,UYBR,am7c,42,192,289787.6,175493.4,LrdZy8QqgUfkVShG,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-28,UYBR,'',0,32,-207287.2,5882.82,RO12,me75fM6ugJ,Change,Change,Change
16,'','',0,40,-54315.2,152073.3,RO12,me75fM6ugJ,Stay,Change,Change
4,cJvF,'',7,30,92826.4,230408.7,RO12,me75fM6ugJ,Change,Change,Stay
26,cJvF,am7c,0,50,-9764.72,3381.39,RO12,me75fM6ugJ,Change,Change,Change
-18,UYBR,'',103.658127,8,-1837704,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',98,32,733.716,450.381,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,0,50,-130603.6,10808.25,RO12,me75fM6ugJ,Change,Change,Change
6,cJvF,am7c,91,248,302888,58950,BrRu5UxtiQY9TTJ8ABKpfS,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,UYBR,'',0,38,128381.6,211024.8,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,34,307673.2,16583.01,RO12,me75fM6ugJ,Stay,Change,Change
-4,cJvF,'',0,20,332236,261485.4,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,231,168,192637.2,203010.6,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
32,cJvF,am7c,0,56,-804212,126253.8,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,'',0,24,47781.2,86873.7,e6CkoqApVR,Kxdu,Change,Change,Change
-0.55388,cJvF,mj86,14,100,11474.16,2607.519,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,7,132,119185.6,82080,2Knk1KF,me75fM6ugJ,Change,Change,Change
-30,cJvF,'',28,34,99496.8,168702.9,RO12,me75fM6ugJ,Change,Change,Stay
-24,UYBR,'',672,76,150274,130525.2,e6CkoqApVR,NKv3VA1BpP,Change,Change,Change
-30,cJvF,'',0,14,-144458.8,7215.75,e6CkoqApVR,Kxdu,Change,Change,Stay
4,cJvF,'',0,12,-427944,0,AERks4l,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
-26,cJvF,am7c,665,154,461744,85015.2,2Knk1KF,me75fM6ugJ,Change,Stay,Change
-16,UYBR,'',103.658127,8,-850532,103084.052693,RO12,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
-0.55388,cJvF,am7c,0,138,2153.144,12338.13,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',103.658127,6,0,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,784,128,80184.4,148673.1,2Knk1KF,me75fM6ugJ,Change,Change,Change
-30,cJvF,'',35,34,59902.8,14390.73,RO12,me75fM6ugJ,Change,Change,Change
-8,UYBR,'',0,16,-53339.2,388953,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,98,90,-10111,10275.66,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',103.658127,10,-657816,103084.052693,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,cJvF,am7c,0,108,4400.76,6053.43,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,105,142,349984.4,96281.41,2Knk1KF,5iay,Change,Change,Change
-30,UYBR,mj86,266,102,81858.8,44489.4,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,609,70,17932.56,28287.39,RO12,Kxdu,Change,Change,Change
4,cJvF,am7c,0,60,93643.6,160461.6,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-26,UYBR,'',238,32,305076,178222.2,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,22,-269845.6,228989.1,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
14,UYBR,'',0,38,-238460,192959.7,RO12,me75fM6ugJ,Stay,Change,Change
4,UYBR,'',14,88,85728.4,52355.1,RO12,me75fM6ugJ,Change,Change,Change
-14,UYBR,'',103.658127,10,-1301956,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,am7c,21,150,-1206768,2358.381,2Knk1KF,me75fM6ugJ,Change,Change,Change
34,UYBR,mj86,77,58,74681.6,90198.59,AERks4l,NKv3VA1BpP,Change,Change,Change
8,cJvF,'',0,32,197222,207918.6,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,20,51286.4,22169.88,e6CkoqApVR,Kxdu,Change,Change,Change
-18,UYBR,'',103.658127,8,-768200,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,14,56,154510,201540,LrdVolaSGUfkVeWC,me75fM6ugJ,Change,Change,Change
4,UYBR,'',103.658127,10,-139888,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
10,cJvF,'',0,36,-623184,100146.6,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,14,938364,265391.4,RO12,me75fM6ugJ,Change,Change,Change
-24,UYBR,mj86,7,50,169128.4,218597.1,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,637,170,-212053.6,181816.5,g62hiBSaKg,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,am7c,28,178,63418,26831.1,qqimvRzsp8ZZdKRPgzLg68joSn_k,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,'',21,96,-5915.28,17574.24,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-20,cJvF,'',103.658127,4,-1687128,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,231,224,123741.2,232790.7,NRCqczK,7M47J5GA0pTYIFxg5uy,Change,Change,Change
22,cJvF,mj86,7,242,30722.28,3771.72,vuPfq6YcbX,7M47J5GA0pTYIFxg5uy,Change,Change,Stay
6,cJvF,mj86,49,84,-276341.2,102652.8,RO12,me75fM6ugJ,Change,Change,Change
10,UYBR,mj86,224,170,376264,138812.4,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
10,UYBR,'',140,34,128501.2,167660.1,RO12,me75fM6ugJ,Change,Change,Change
8,cJvF,'',7,34,-14694.28,5184.69,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,22,95252,210001.2,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-10,cJvF,'',0,14,-9803600,0,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',1463,170,241348.4,14340.81,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,'',103.658127,30,-117355.2,27180.72,RO12,Kxdu,Change,Change,Change
4,UYBR,'',0,14,187793.6,50522.4,RO12,me75fM6ugJ,Change,Change,Change
10,cJvF,'',1092,40,-38903,24770.46,RO12,me75fM6ugJ,Stay,Change,Change
-0.55388,cJvF,'',0,14,26896.84,7434.06,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,UYBR,'',0,44,-42569.2,7909.17,RO12,me75fM6ugJ,Change,Change,Change
-28,cJvF,'',0,22,60267.6,274655.1,RO12,me75fM6ugJ,Change,Change,Change
-18,UYBR,mj86,7,100,577672,73387.2,RO12,Kxdu,Change,Change,Change
-12,cJvF,'',0,32,-506896,13005,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,26,-27256.8,4822.47,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,588,136,-599392,59932.8,2Knk1KF,me75fM6ugJ,Change,Change,Change
26,cJvF,mj86,77,76,64304.4,118835.7,RO12,me75fM6ugJ,Change,Change,Change
18,UYBR,'',103.658127,42,-33192.72,12112.71,RO12,me75fM6ugJ,Change,Change,Change
8,UYBR,'',35,32,1870.856,24530.73,RO12,me75fM6ugJ,Change,Change,Change
14,UYBR,'',0,38,3350572,66915.3,RO12,me75fM6ugJ,Change,Change,Change
10,UYBR,'',0,166,135392.8,208545.6,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,'',0,20,0,0,RO12,me75fM6ugJ,Stay,Change,Change
50,UYBR,am7c,7,104,470208,240349.5,w9ygS99Qp_,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,cJvF,mj86,14,54,-44806,221105.7,RO12,me75fM6ugJ,Change,Change,Change
30,UYBR,am7c,0,54,77230,226747.8,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',0,106,0,24536.94,RO12,me75fM6ugJ,Change,Change,Stay
-18,UYBR,'',103.658127,6,676456,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-26,cJvF,'',0,20,159455.2,229230.6,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
60,UYBR,mj86,0,84,71458.4,2109.267,RO12,6C53VA1kCv,Change,Change,Change
-0.55388,cJvF,'',35,106,-531940,38976.6,eSGpMwS8zSGgq_trOpckZ5,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
44,cJvF,am7c,238,68,151972,122881.8,RO12,me75fM6ugJ,Stay,Change,Change
4,UYBR,'',0,28,402336,34825.2,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-24,cJvF,mj86,238,134,196132.4,22831.14,RO12,Kxdu,Change,Change,Change
-4,cJvF,'',0,22,65424,191154.9,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,0,100,14094,3936,AERks4l,NKv3VA1BpP,Change,Change,Change
-0.55388,cJvF,am7c,126,88,18044,22956.06,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,112,130,739644,141860.4,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',175,40,130518.8,218866.8,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
32,UYBR,'',84,124,0,236925.6,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,7M47J5GA0pTYIFxg5uy,Change,Change,Change
6,'','',35,30,151256.8,213966.3,RO12,me75fM6ugJ,Change,Change,Stay
-20,UYBR,'',103.658127,6,-1389440,103084.052693,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,cJvF,'',103.658127,10,-1802784,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-14,UYBR,'',103.658127,10,-463280,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
38,UYBR,am7c,98,184,-5910,2912.076,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,'',0,20,1083.428,292524.6,e6CkoqApVR,Kxdu,Change,Change,Change
4,cJvF,'',0,28,238299.6,43516.5,AERks4l,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
4,cJvF,'',103.658127,10,-420280,103084.052693,RO12,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
22,cJvF,mj86,35,106,57795.2,6128.16,w9ygS99Qp_,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
8,cJvF,'',7,32,74679.2,153709.8,RO12,Kxdu,Change,Change,Change
-16,UYBR,'',103.658127,8,-958312,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,63,238,122140.4,34512.6,msph93375qXRfw6hcMceRRIDdmHq8wn,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,'',103.658127,28,370029.2,212172.3,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,0,72,4457.28,2626.395,RO12,me75fM6ugJ,Change,Change,Change
-6,UYBR,'',0,20,0,163707.6,RO12,me75fM6ugJ,Stay,Change,Change
-22,UYBR,mj86,28,174,-1359428,4271.07,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,'',0,16,1333564,871572,RO12,me75fM6ugJ,Stay,Change,Change
4,cJvF,am7c,70,172,238395.2,42066.6,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Stay
-0.55388,cJvF,mj86,0,58,261059.2,156931.2,eSGpMwS8zSGgq_trOpckZ5,GjJ35utlTa_GNSvxxpb9ju,Stay,Change,Change
-0.55388,cJvF,am7c,0,178,108318.4,13168.86,g62hiBSaKg,7M47J5GA0pTYIFxg5uy,Change,Change,Change
32,cJvF,am7c,896,206,157638.4,96806.41,Fveq5yuDUj6drSMiZO3mXe,7M47J5GA0pTYIFxg5uy,Change,Change,Change
30,UYBR,am7c,0,54,129488.8,38065.8,RO12,me75fM6ugJ,Change,Change,Change
24,UYBR,am7c,42,48,-67012.8,32423.7,RO12,me75fM6ugJ,Change,Change,Change
-30,cJvF,mj86,0,70,134035.2,87261.91,RO12,me75fM6ugJ,Change,Change,Change
20,cJvF,'',7,44,238431.6,164636.4,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',0,90,110442.4,85097.41,RO12,me75fM6ugJ,Change,Change,Change
-18,UYBR,'',103.658127,8,-911296,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
10,cJvF,'',14,34,310556,153621.3,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,49,60,-7310,189397.5,RO12,me75fM6ugJ,Change,Change,Change
-26,cJvF,'',0,28,1274340,207047.4,RO12,me75fM6ugJ,Change,Change,Change
-18,UYBR,'',21,46,294954.8,218532.3,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,0,116,298120.4,62616.6,2Knk1KF,me75fM6ugJ,Change,Change,Change
8,cJvF,am7c,0,136,31588,46081.8,2Knk1KF,me75fM6ugJ,Change,Change,Change
-4,UYBR,am7c,343,78,-824100,80813.7,RO12,me75fM6ugJ,Change,Change,Change
20,UYBR,am7c,0,68,-12958.44,9634.53,RO12,me75fM6ugJ,Change,Change,Change
-26,UYBR,'',0,20,125821.2,279702.9,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,26,255513.2,202726.2,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
6,UYBR,'',0,30,149931.6,18392.34,AERks4l,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
-30,UYBR,'',103.658127,28,180113.6,208811.1,e6CkoqApVR,Kxdu,Change,Change,Stay
-16,cJvF,'',126,42,-1919980,6400.62,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,'',am7c,0,70,-144420,2080.68,eSGpMwS8zSGgq_trOpckZ5,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
-0.55388,UYBR,'',0,14,103245.6,200286.3,RO12,me75fM6ugJ,Change,Change,Change
6,cJvF,'',35,32,255666,80655.91,AERks4l,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-22,UYBR,mj86,1183,196,65179.2,226274.7,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-28,UYBR,'',0,58,128745.2,231019.2,RO12,me75fM6ugJ,Change,Change,Change
-10,cJvF,'',259,110,-1236752,15119.37,eSGpMwS8zSGgq_trOpckZ5,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
4,UYBR,'',0,16,-1045304,22499.19,RO12,me75fM6ugJ,Change,Stay,Change
-0.55388,UYBR,'',301,152,153236.8,254610.6,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-20,cJvF,'',103.658127,4,-1255404,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,798,138,7955.56,66562.8,2Knk1KF,me75fM6ugJ,Change,Change,Change
-26,cJvF,am7c,168,138,-477376,3826.89,2Knk1KF,NKv3VA1BpP,Change,Change,Change
4,cJvF,'',103.658127,8,-1054916,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
28,cJvF,mj86,238,76,143151.6,22665.75,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,161,184,340840,62477.4,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-14,UYBR,'',103.658127,10,-1235624,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-8,UYBR,'',0,18,2483184,199438.8,RO12,me75fM6ugJ,Stay,Change,Change
-14,UYBR,'',103.658127,10,27693.48,103084.052693,RO12,me75fM6ugJ,Change,Change,Stay
-6,UYBR,'',0,20,-965668,186262.5,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',103.658127,8,-532888,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-20,cJvF,mj86,0,182,-1737272,3777.06,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,UYBR,mj86,42,54,150831.6,222294,RO12,me75fM6ugJ,Change,Change,Stay
6,cJvF,'',49,30,185917.2,31838.1,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
6,cJvF,am7c,70,132,-480.572,17041.65,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-10,UYBR,'',0,14,-5141.28,218569.5,RO12,me75fM6ugJ,Change,Change,Change
-16,UYBR,'',103.658127,34,92448.8,108068.7,RO12,me75fM6ugJ,Stay,Change,Change
-20,cJvF,'',103.658127,4,-3673452,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
