@relation R_data_frame

@attribute Var126 numeric
@attribute Var218 {'',cJvF,UYBR}
@attribute Var229 {'',am7c,mj86,oJmt,sk2h}
@attribute Var74 numeric
@attribute Var73 numeric
@attribute Var113 numeric
@attribute Var81 numeric
@attribute Var193 {_7J0OGNN8s6gFzbM,2Knk1KF,2wnefc9ISdLjfQoAYBI,5QKIjwyXr4MCZTEp7uAkS8PtBLcn,8kO9LslBGNXoLvWEuN6tPuN59TdYxfL9Sm6oU,9U2tunPAje3TwfLLUQxzM3dC1ghn,AERks4l,B2T7ZTgOX7xpBPBD28SLvVWgBkc13Sm0a3tk2,BrRu5UxtiQY9TTJ8ABKpfS,bYmQ4nc,ByQdnLRlFnny2k4AJzG,DH86UFkz9LK6My0ezUgZx96oI,e6CkoqApVR,eSGpMwS8zSGgq_trOpckZ5,Fveq5yuDUj6drSMiZO3mXe,g62hiBSaKg,gGvYE2F8JHtPlbzkGbl,GpoBynXzkxADI7bZBtqvX2IPV5t7o2QCPE,hnq7pOcHWLojUTXc7HQutLwmffdy,iKEouAWeUBYR3fQ5tZmt_bDPIn6qT7tIGHs8L,IlTgyyFksv4BT,J71wxZB6Jn0CR82XoyV,JXVE,KjAW4rq3iyvu8XwKkyQ2_svIATjM3B5,LrdVolaSGUfkVeWC,LrdZy8QqgUfkVShG,MJdP52puUMWhmExsNdlkGDbNTFln2Eg,msph93375qXRfw6hcMceRRIDdmHq8wn,ND3t9Yro9U,NMCEYavk0YOlqn2jHeEDjP0xsdXeAZGnZDN0NOfV,NRCqczK,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,OpDzzQJ,PomAbFU,QG5U1Qs9mF3805lxYz2cGPnrm,qqimvRzsp8ZZdKRPgzLg68joSn_k,rEUOq2QD1qfkRr6qpua,RO12,snf9xe6PBwBZ8lKzhEz,SrUWsbENd7prk,T9RM7fDFhhZjjBFsk5zptG,TW8dXluYzKpktZjuY8kSPBaZa,ues7INAmyjdS1vDd0YL9jU,vuPfq6YcbX,w9ygS99Qp_,wvnt2iBhAPeGqIKaFUxJc6ca3IYp,X1rJx42ksaRn3qcM,X2uI6IsGev,yaM_UXtlxCFW5NHTcftwou7BmXcP9VITdHAto,z3s4Ji522ZB1FauqOOqbkl,zPhCMhkz9XiOF7LgT9VfJZ3yI}
@attribute Var207 {0MCPoln,15TtzZrRt2,5iay,6C53VA1kCv,7M47J5GA0pTYIFxg5uy,DHn_WUyBhW_whjA88g9bvA64_,EBKcR3s6B22tD6gC36gm6S,GjJ35utlTa_GNSvxxpb9ju,Kxdu,me75fM6ugJ,NKv3VA1BpP,o0ZZAVSQ32YuE,tMBVJkA0xJMEATvl4ht,wXfldy7}
@attribute churn {Change,Stay}
@attribute appetency {Change,Stay}
@attribute upselling {Change,Stay}

@data
50,UYBR,mj86,840,98,-92255.6,15179.28,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Stay
-20,cJvF,'',103.658127,6,-2806172,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,7,106,-463424,10021.8,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,0,134,284693.2,90798.59,RO12,Kxdu,Change,Change,Change
-0.55388,cJvF,am7c,0,76,-221479.2,62195.4,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',0,154,-357266.8,36297.6,LrdZy8QqgUfkVShG,7M47J5GA0pTYIFxg5uy,Stay,Change,Change
4,cJvF,'',14,32,-8828.16,5590.53,RO12,me75fM6ugJ,Change,Change,Change
16,UYBR,'',7,40,142278,145788,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,14,89511.2,145019.4,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,12,-633380,111587.7,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',0,26,-32267.84,5086.14,RO12,Kxdu,Change,Change,Stay
4,UYBR,'',77,34,105314,223026.3,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,0,100,1408888,40287.3,RO12,me75fM6ugJ,Change,Change,Change
54,cJvF,am7c,7,126,-139303.6,149444.1,2Knk1KF,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,16,20234.44,38528.4,AERks4l,Kxdu,Change,Change,Change
68,cJvF,mj86,14,176,455164,5630.55,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,cJvF,mj86,63,114,654488,32140.2,LrdVolaSGUfkVeWC,me75fM6ugJ,Change,Change,Stay
-0.55388,cJvF,mj86,693,82,-223740.4,197040,RO12,me75fM6ugJ,Change,Change,Change
-30,cJvF,mj86,231,90,209392.4,76143.59,RO12,me75fM6ugJ,Change,Change,Stay
4,cJvF,mj86,70,134,-252101.2,17370.87,2Knk1KF,NKv3VA1BpP,Change,Change,Stay
-0.55388,UYBR,mj86,665,84,-17647.72,2532.309,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,58,105407.2,150967.2,RO12,me75fM6ugJ,Stay,Change,Change
-26,UYBR,'',0,64,-210018.8,12568.14,ues7INAmyjdS1vDd0YL9jU,NKv3VA1BpP,Change,Change,Change
-0.55388,UYBR,'',161,190,38380,2923.665,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,'',238,42,541552,124688.7,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,35,110,20853.84,16735.83,RO12,me75fM6ugJ,Change,Change,Change
12,cJvF,'',77,36,158784.8,74182.5,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,am7c,119,130,-7934.28,20563.56,RO12,Kxdu,Change,Change,Change
20,UYBR,am7c,49,150,-268683.6,12535.26,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,'',819,178,120280.4,155106.6,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,UYBR,am7c,0,122,-56384,36971.7,2Knk1KF,NKv3VA1BpP,Change,Stay,Change
-0.55388,UYBR,mj86,7,68,-21256.72,6177.72,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',103.658127,10,-361634,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
16,cJvF,'',203,42,-533224,68738.09,RO12,me75fM6ugJ,Change,Change,Change
14,cJvF,am7c,0,142,217976.4,215099.1,2Knk1KF,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,28,188393.6,194896.5,RO12,me75fM6ugJ,Change,Change,Change
-30,UYBR,am7c,0,80,-945924,32903.1,RO12,me75fM6ugJ,Change,Stay,Change
4,cJvF,'',0,14,483980,210623.1,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,35,96,78496,66043.5,RO12,me75fM6ugJ,Change,Change,Change
-28,UYBR,'',0,14,-21179.16,208107.6,RO12,me75fM6ugJ,Change,Change,Change
6,cJvF,am7c,7,116,126984.4,93031.2,2Knk1KF,me75fM6ugJ,Change,Change,Change
-10,UYBR,mj86,105,98,357550,126996.6,RO12,Kxdu,Change,Change,Change
34,cJvF,mj86,42,58,-485776,12704.88,RO12,me75fM6ugJ,Change,Change,Change
-20,UYBR,'',119,32,-771928,4478.01,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,mj86,154,150,187105.2,4069.8,5QKIjwyXr4MCZTEp7uAkS8PtBLcn,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,'',103.658127,8,36103.2,103084.052693,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-20,cJvF,mj86,7,128,-1070208,3935.52,2Knk1KF,NKv3VA1BpP,Change,Change,Change
4,cJvF,'',0,12,-1441236,0,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,0,56,-256089.6,58062.6,RO12,me75fM6ugJ,Change,Change,Change
-28,UYBR,mj86,168,138,61896.8,156429.6,2Knk1KF,me75fM6ugJ,Change,Change,Change
28,cJvF,mj86,7,76,158649.6,58199.7,RO12,me75fM6ugJ,Change,Change,Change
32,UYBR,mj86,21,80,15413.84,9700.5,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,7,106,-23193.16,2804.346,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,84,178,36960.44,34341.9,g62hiBSaKg,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,'',103.658127,10,-429648,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
26,cJvF,am7c,0,50,398236,103034.1,RO12,Kxdu,Change,Change,Change
-24,UYBR,mj86,14,62,328346.4,121543.2,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-14,UYBR,'',103.658127,10,-841072,103084.052693,RO12,me75fM6ugJ,Change,Stay,Change
-18,cJvF,mj86,42,62,213461.6,223742.7,RO12,me75fM6ugJ,Change,Change,Change
-24,UYBR,mj86,1001,140,143554.8,21097.02,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,UYBR,am7c,0,98,-12093.44,2926.35,RO12,me75fM6ugJ,Change,Change,Stay
4,'',am7c,35,120,321571.6,118692.9,2Knk1KF,me75fM6ugJ,Stay,Change,Change
-4,UYBR,'',0,20,-49792,113039.1,RO12,7M47J5GA0pTYIFxg5uy,Stay,Change,Change
36,cJvF,mj86,0,86,134839.6,38312.7,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-20,UYBR,'',103.658127,6,-2426212,103084.052693,RO12,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
-30,cJvF,mj86,252,58,-14017.28,20545.89,RO12,me75fM6ugJ,Change,Change,Stay
-0.55388,cJvF,'',14,34,-113539.2,152646.6,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-0.55388,cJvF,am7c,7,148,25917.44,9604.14,2Knk1KF,me75fM6ugJ,Change,Change,Change
-6,UYBR,'',0,18,601924,363891,RO12,me75fM6ugJ,Change,Change,Change
-28,UYBR,'',0,28,115704.4,190701.3,RO12,me75fM6ugJ,Change,Stay,Change
40,UYBR,mj86,0,126,-49701.6,130404.6,2Knk1KF,me75fM6ugJ,Change,Change,Change
-20,UYBR,'',462,168,-1405328,16498.59,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,'',0,24,80227.6,183577.5,RO12,me75fM6ugJ,Stay,Change,Change
16,cJvF,am7c,0,48,106971.2,46016.4,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,am7c,280,84,217250,205299.3,RO12,me75fM6ugJ,Stay,Change,Change
-0.55388,cJvF,'',14,46,9072.56,8249.189,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,18,138819.6,200918.1,RO12,me75fM6ugJ,Change,Change,Change
-30,UYBR,'',0,34,1056972,227631.3,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
-8,UYBR,'',103.658127,10,-792640,103084.052693,RO12,me75fM6ugJ,Stay,Change,Change
-0.55388,UYBR,mj86,294,134,169457.2,186878.4,2Knk1KF,me75fM6ugJ,Change,Change,Stay
-0.55388,cJvF,'',0,28,665852,206610,RO12,DHn_WUyBhW_whjA88g9bvA64_,Stay,Change,Change
-0.55388,cJvF,'',0,76,160779.6,161604.3,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-30,cJvF,mj86,28,54,-225443.2,19619.37,RO12,me75fM6ugJ,Change,Change,Stay
-0.55388,UYBR,'',0,136,717056,66499.8,2Knk1KF,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,84,154,29474.16,7313.16,2Knk1KF,me75fM6ugJ,Change,Change,Change
12,cJvF,mj86,70,144,-332401.6,13033.26,g62hiBSaKg,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-28,UYBR,'',103.658127,6,-1467004,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,am7c,126,178,-122582.4,4607.52,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-14,UYBR,'',103.658127,10,-1438628,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,7,166,92207.6,39586.2,iKEouAWeUBYR3fQ5tZmt_bDPIn6qT7tIGHs8L,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-0.55388,cJvF,'',21,44,306534.4,201556.5,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',103.658127,8,-976128,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,'','',42,60,279472.4,80874.91,RO12,me75fM6ugJ,Change,Change,Stay
28,UYBR,am7c,686,76,255740.4,49498.8,LrdVolaSGUfkVeWC,me75fM6ugJ,Change,Change,Stay
-0.55388,UYBR,mj86,357,60,280469.2,208742.7,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,14,-53725.2,5519.1,RO12,me75fM6ugJ,Change,Change,Change
36,cJvF,am7c,0,150,3445,2188.554,2Knk1KF,NKv3VA1BpP,Change,Change,Change
-18,cJvF,'',103.658127,6,-208480,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,12,-575204,23785.68,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,mj86,49,126,11726.56,4170.18,2Knk1KF,me75fM6ugJ,Change,Change,Change
16,cJvF,'',0,40,133974.4,173106.3,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,'',168,150,98278,247886.1,2Knk1KF,NKv3VA1BpP,Change,Change,Change
-22,UYBR,'',0,28,506916,205349.7,RO12,me75fM6ugJ,Change,Change,Change
6,UYBR,'',0,30,181392.4,155586.3,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',103.658127,8,0,103084.052693,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',14,32,-123906,37884.3,RO12,me75fM6ugJ,Change,Change,Change
10,UYBR,'',14,34,111466,229806.6,ND3t9Yro9U,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
-0.55388,UYBR,'',819,64,141398,195354.6,e6CkoqApVR,NKv3VA1BpP,Change,Change,Change
-0.55388,UYBR,mj86,63,62,-320074.4,29490.09,RO12,me75fM6ugJ,Change,Change,Change
30,cJvF,mj86,0,170,10653.84,6718.41,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
20,cJvF,mj86,119,70,112584.4,12076.83,RO12,Kxdu,Change,Change,Change
-0.55388,UYBR,am7c,63,48,100043.6,206948.4,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,28,-105954.4,18275.28,RO12,me75fM6ugJ,Change,Change,Change
-30,UYBR,'',343,102,-23201.84,14915.7,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,12,-539932,103084.052693,RO12,6C53VA1kCv,Change,Change,Stay
-0.55388,UYBR,am7c,721,136,361192.8,36517.5,AERks4l,7M47J5GA0pTYIFxg5uy,Change,Change,Change
8,cJvF,am7c,98,100,259796.8,124731.9,eSGpMwS8zSGgq_trOpckZ5,GjJ35utlTa_GNSvxxpb9ju,Change,Change,Change
4,UYBR,'',0,22,133070,66273.3,e6CkoqApVR,Kxdu,Change,Change,Change
-0.55388,UYBR,'',21,196,229760.8,163360.2,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,cJvF,'',0,12,-917572,52944.3,RO12,me75fM6ugJ,Change,Change,Change
32,cJvF,am7c,252,56,341317.6,57060.9,AERks4l,NKv3VA1BpP,Change,Change,Change
-14,UYBR,'',103.658127,10,-1363916,103084.052693,RO12,me75fM6ugJ,Stay,Change,Change
-8,cJvF,mj86,7,162,9278480,88845.3,onTuEhrJJQy_H3IHkZku5AFczhYGqxJ890,7M47J5GA0pTYIFxg5uy,Change,Change,Change
14,cJvF,'',35,38,-1621048,6941.82,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,20,213794.4,216549,RO12,DHn_WUyBhW_whjA88g9bvA64_,Stay,Change,Change
-0.55388,UYBR,'',0,20,1233048,243933.3,RO12,me75fM6ugJ,Stay,Change,Change
-0.55388,cJvF,mj86,161,194,101661.2,81084.91,rEUOq2QD1qfkRr6qpua,7M47J5GA0pTYIFxg5uy,Change,Change,Change
-8,UYBR,'',0,18,190556,186274.8,RO12,me75fM6ugJ,Change,Change,Change
-22,UYBR,mj86,252,200,170900.8,76400.7,2Knk1KF,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,mj86,483,108,37934.56,21529.53,RO12,7M47J5GA0pTYIFxg5uy,Change,Change,Change
4,UYBR,am7c,21,96,-26962.56,10001.1,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,175,112,113571.2,117214.5,2Knk1KF,me75fM6ugJ,Change,Change,Change
4,cJvF,'',0,12,-618804,64361.4,RO12,DHn_WUyBhW_whjA88g9bvA64_,Change,Change,Change
44,cJvF,am7c,672,92,-79512.4,28067.37,RO12,me75fM6ugJ,Change,Change,Change
4,UYBR,'',0,20,-540216,234984.6,RO12,me75fM6ugJ,Change,Change,Change
4,cJvF,'',154,34,-109708,125663.7,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,UYBR,mj86,0,78,-2439.568,5187.48,RO12,me75fM6ugJ,Change,Change,Change
-0.55388,cJvF,mj86,0,154,-19449.44,47223,AERks4l,7M47J5GA0pTYIFxg5uy,Stay,Change,Change
